,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
8,8,Eldridge Recasner,ATL,29.0,193.04,86.18248,Washington,USA,1992,Undrafted,Undrafted,71,5.7,1.6,1.3,-0.3,0.036,0.076,0.172,0.539,0.141,1996-97
33,33,Derrick Alston,ATL,24.0,210.82,102.0582,Duquesne,USA,1994,2,33,2,0.0,2.0,0.0,-39.9,0.188,0.2,0.213,0.0,0.0,1996-97
47,47,Donnie Boyce,ATL,23.0,195.58,88.904032,Colorado,USA,1995,2,42,22,2.5,0.7,0.6,-10.3,0.051,0.059,0.244,0.3779999999999999,0.146,1996-97
52,52,Dikembe Mutombo,ATL,31.0,218.44,113.398,Georgetown,Congo,1991,1,4,80,13.3,11.6,1.4,8.1,0.1119999999999999,0.256,0.179,0.584,0.066,1996-97
62,62,Ivano Newbill,ATL,26.0,208.28,111.13004,Georgia Tech,USA,1994,Undrafted,Undrafted,72,1.4,2.8,0.3,2.5,0.104,0.1889999999999999,0.083,0.439,0.042,1996-97
82,82,Henry James,ATL,31.0,203.2,99.79024,St. Mary's (TX),USA,Undrafted,Undrafted,Undrafted,53,6.7,1.5,0.4,1.2,0.034,0.067,0.171,0.555,0.036,1996-97
144,144,Alan Henderson,ATL,24.0,205.74,106.59412,Indiana,USA,1995,1,16,30,6.6,3.9,0.8,-9.7,0.114,0.184,0.2019999999999999,0.51,0.078,1996-97
156,156,Anthony Miller,ATL,25.0,205.74,115.66596,Michigan State,USA,1994,2,39,1,0.0,7.0,0.0,-50.0,0.111,0.7140000000000001,0.149,0.0,0.0,1996-97
184,184,Darrin Hancock,ATL,25.0,200.66,92.98636,Kansas,USA,1994,2,38,24,1.8,0.8,0.5,-2.6,0.03,0.118,0.159,0.51,0.136,1996-97
205,205,Christian Laettner,ATL,27.0,210.82,111.13004,Duke,USA,1992,1,3,82,18.1,8.8,2.7,11.0,0.084,0.186,0.236,0.562,0.133,1996-97
282,282,Tyrone Corbin,ATL,34.0,198.12,102.0582,DePaul,USA,1985,2,35,70,9.5,4.2,1.8,10.5,0.0409999999999999,0.111,0.153,0.514,0.089,1996-97
298,298,Willie Burton,ATL,29.0,203.2,95.25432,Minnesota,USA,1990,1,9,24,6.2,1.7,0.5,-4.8,0.033,0.0969999999999999,0.21,0.507,0.0559999999999999,1996-97
312,312,Steven Smith,ATL,28.0,203.2,97.52228,Michigan State,USA,1991,1,5,72,20.1,3.3,4.2,7.4,0.04,0.061,0.253,0.5479999999999999,0.203,1996-97
331,331,Priest Lauderdale,ATL,23.0,223.52,155.582056,Central State (OH),USA,1996,1,28,35,3.2,1.2,0.3,-4.0,0.093,0.1639999999999999,0.284,0.56,0.107,1996-97
378,378,Jon Barry,ATL,27.0,195.58,92.98636,Georgia Tech,USA,1992,1,21,58,4.9,1.7,2.0,5.0,0.031,0.087,0.152,0.535,0.193,1996-97
384,384,Ken Norman,ATL,32.0,203.2,97.52228,Illinois,USA,1987,1,19,17,3.8,2.3,0.7,-9.1,0.039,0.142,0.2339999999999999,0.322,0.107,1996-97
399,399,Mookie Blaylock,ATL,30.0,185.42,83.91452,Oklahoma,USA,1989,1,12,78,17.4,5.3,5.9,10.5,0.046,0.114,0.221,0.5479999999999999,0.272,1996-97
463,463,Randy Livingston,ATL,23.0,193.04,95.25432,Louisiana State,USA,1996,2,42,12,0.8,0.5,0.4,-5.0,0.013,0.063,0.104,0.352,0.104,1997-98
485,485,Mookie Blaylock,ATL,31.0,185.42,83.91452,Oklahoma,USA,1989,1,12,70,13.2,4.9,6.7,8.4,0.037,0.11,0.2019999999999999,0.462,0.288,1997-98
599,599,Tyrone Corbin,ATL,35.0,198.12,102.0582,DePaul,USA,1985,2,35,79,10.2,4.6,2.2,7.0,0.036,0.119,0.155,0.502,0.105,1997-98
634,634,Steven Smith,ATL,29.0,203.2,100.243832,Michigan State,USA,1991,1,5,73,20.1,4.2,4.0,4.4,0.057,0.07,0.242,0.563,0.187,1997-98
674,674,Chucky Brown,ATL,30.0,203.2,97.52228,North Carolina State,USA,1989,2,43,77,5.0,2.4,0.7,2.8,0.0579999999999999,0.119,0.177,0.472,0.077,1997-98
676,676,Christian Laettner,ATL,28.0,210.82,111.13004,Duke,USA,1992,1,3,74,13.8,6.6,2.6,4.0,0.08,0.174,0.22,0.5760000000000001,0.148,1997-98
686,686,Chris Crawford,ATL,23.0,205.74,106.59412,Marquette,USA,1997,2,50,40,3.8,1.0,0.2,-7.1,0.081,0.084,0.252,0.536,0.062,1997-98
704,704,Dikembe Mutombo,ATL,32.0,218.44,118.38751200000002,Georgetown,Congo,1991,1,4,82,13.4,11.4,1.0,8.0,0.1159999999999999,0.254,0.18,0.584,0.048,1997-98
707,707,Donald Whiteside,ATL,29.0,177.8,72.57472,Northern Illinois,USA,Undrafted,Undrafted,Undrafted,3,0.7,0.3,0.3,-52.7,0.0,0.083,0.123,0.347,0.111,1997-98
748,748,Anthony Miller,ATL,26.0,205.74,115.66596,Michigan State,USA,1994,2,39,37,2.1,1.9,0.1,-2.8,0.145,0.205,0.15,0.5710000000000001,0.02,1997-98
752,752,Alan Henderson,ATL,25.0,205.74,106.59412,Indiana,USA,1995,1,16,69,14.3,6.4,1.1,3.4,0.1159999999999999,0.134,0.2339999999999999,0.534,0.068,1997-98
784,784,Brian Oliver,ATL,30.0,193.04,95.25432,Georgia Tech,USA,1990,2,32,5,3.0,1.8,0.4,-1.8,0.05,0.115,0.144,0.361,0.047,1997-98
825,825,Drew Barry,ATL,25.0,195.58,86.636072,Georgia Tech,USA,1996,2,57,27,2.1,1.3,1.8,16.0,0.024,0.129,0.124,0.64,0.257,1997-98
828,828,Ed Gray,ATL,22.0,190.5,95.25432,California,USA,1997,1,22,30,7.6,1.5,1.1,-8.3,0.023,0.09,0.248,0.492,0.132,1997-98
833,833,Eldridge Recasner,ATL,30.0,193.04,86.18248,Washington,USA,1992,Undrafted,Undrafted,59,9.3,2.4,2.0,-1.9,0.027,0.087,0.186,0.563,0.143,1997-98
