,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
7182,7182,Reggie Evans,BKN,33.0,203.2,111.13004,Iowa,USA,Undrafted,Undrafted,Undrafted,80,4.5,11.1,0.5,4.4,0.159,0.39,0.111,0.506,0.032,2012-13
7228,7228,Josh Childress,BKN,30.0,203.2,95.25432,Stanford,USA,2004,1,6,14,1.0,1.1,0.4,-9.6,0.0559999999999999,0.106,0.096,0.32,0.085,2012-13
7268,7268,Tyshawn Taylor,BKN,23.0,190.5,83.91452,Kansas,USA,2012,2,41,38,2.2,0.5,0.6,-12.1,0.011,0.089,0.262,0.43,0.181,2012-13
7269,7269,Tornike Shengelia,BKN,21.0,205.74,108.86208,None,Georgia,2012,2,54,19,1.6,1.2,0.2,2.7,0.1,0.184,0.188,0.499,0.05,2012-13
7274,7274,Kris Humphries,BKN,28.0,205.74,106.59412,Minnesota,USA,2004,1,14,65,5.8,5.6,0.5,-3.7,0.125,0.235,0.1639999999999999,0.515,0.043,2012-13
7275,7275,Kris Joseph,BKN,24.0,200.66,95.25432,Syracuse,USA,2012,2,51,10,0.9,0.7,0.1,-3.3,0.02,0.136,0.166,0.257,0.0279999999999999,2012-13
7312,7312,Keith Bogans,BKN,33.0,195.58,97.52228,Kentucky,USA,2003,2,43,74,4.2,1.6,1.0,-0.2,0.013,0.086,0.113,0.5329999999999999,0.084,2012-13
7336,7336,Mirza Teletovic,BKN,27.0,205.74,115.66596,None,Bosnia,Undrafted,Undrafted,Undrafted,53,3.5,1.8,0.4,-2.5,0.072,0.147,0.196,0.495,0.08,2012-13
7366,7366,MarShon Brooks,BKN,24.0,195.58,90.7184,Providence,USA,2011,1,25,73,5.4,1.4,1.0,-2.6,0.04,0.095,0.2239999999999999,0.523,0.153,2012-13
7413,7413,Gerald Wallace,BKN,30.0,200.66,99.79024,Alabama,USA,2001,1,25,69,7.7,4.6,2.6,3.0,0.04,0.139,0.144,0.49,0.131,2012-13
7425,7425,Deron Williams,BKN,29.0,190.5,94.800728,Illinois,USA,2005,1,3,78,18.9,3.0,7.7,1.7,0.012,0.086,0.242,0.574,0.364,2012-13
7524,7524,Brook Lopez,BKN,25.0,213.36,120.20188,Stanford,USA,2008,1,10,74,19.4,6.9,0.9,4.7,0.109,0.154,0.285,0.5670000000000001,0.061,2012-13
7542,7542,Andray Blatche,BKN,26.0,210.82,117.93392,None,USA,2005,2,49,82,10.3,5.1,1.0,-1.3,0.121,0.21,0.263,0.547,0.108,2012-13
7554,7554,C.J. Watson,BKN,29.0,187.96,79.3786,Tennessee,USA,Undrafted,Undrafted,Undrafted,80,6.8,1.8,2.0,0.8,0.0289999999999999,0.085,0.173,0.544,0.178,2012-13
7566,7566,Damion James,BKN,25.0,200.66,102.0582,Texas,USA,2010,1,24,2,0.0,0.5,0.0,-34.7,0.0,0.5,0.0,0.0,0.0,2012-13
7614,7614,Jerry Stackhouse,BKN,38.0,198.12,98.883056,North Carolina,USA,1995,1,3,37,4.9,0.9,0.9,-1.7,0.01,0.063,0.17,0.5,0.107,2012-13
7620,7620,Joe Johnson,BKN,32.0,200.66,108.86208,Arkansas,USA,2001,1,10,72,16.3,3.0,3.5,4.4,0.024,0.074,0.2189999999999999,0.521,0.163,2012-13
7634,7634,Brook Lopez,BKN,26.0,213.36,124.7378,Stanford,USA,2008,1,10,17,20.7,6.0,0.9,-0.2,0.088,0.126,0.2689999999999999,0.629,0.059,2013-14
7678,7678,Paul Pierce,BKN,36.0,200.66,106.59412,Kansas,USA,1998,1,10,75,13.5,4.6,2.4,2.2,0.015,0.185,0.226,0.595,0.146,2013-14
7745,7745,Tyshawn Taylor,BKN,24.0,190.5,83.91452,Kansas,USA,2012,2,41,23,3.9,0.7,1.6,-23.9,0.012,0.054,0.231,0.427,0.242,2013-14
7769,7769,Andrei Kirilenko,BKN,33.0,205.74,106.59412,None,Russia,1999,1,24,45,5.0,3.2,1.6,-3.1,0.077,0.128,0.144,0.532,0.131,2013-14
7814,7814,Deron Williams,BKN,30.0,190.5,94.800728,Illinois,USA,2005,1,3,64,14.3,2.6,6.1,5.2,0.009,0.089,0.2189999999999999,0.564,0.312,2013-14
7846,7846,Shaun Livingston,BKN,28.0,200.66,79.3786,None,USA,2004,1,4,76,8.3,3.2,3.2,2.3,0.0409999999999999,0.11,0.163,0.551,0.201,2013-14
7872,7872,Jason Collins,BKN,35.0,213.36,115.66596,Stanford,USA,2001,1,18,22,1.1,0.9,0.2,-9.2,0.048,0.086,0.089,0.485,0.034,2013-14
7875,7875,Jason Terry,BKN,36.0,187.96,81.64656,Arizona,USA,1999,1,10,35,4.5,1.1,1.6,-6.2,0.008,0.073,0.149,0.501,0.156,2013-14
7881,7881,Mason Plumlee,BKN,24.0,210.82,106.59412,Duke,USA,2013,1,22,70,7.4,4.4,0.9,-1.3,0.094,0.1989999999999999,0.172,0.67,0.0819999999999999,2013-14
7885,7885,Marquis Teague,BKN,21.0,187.96,86.18248,Kentucky,USA,2012,1,29,40,2.7,1.0,1.5,-9.2,0.003,0.1009999999999999,0.18,0.3979999999999999,0.222,2013-14
7888,7888,Marcus Thornton,BKN,27.0,193.04,92.98636,Louisiana State,USA,2009,2,43,72,9.8,2.8,1.1,-0.6,0.037,0.095,0.196,0.511,0.072,2013-14
7929,7929,Kevin Garnett,BKN,38.0,210.82,114.758776,None,USA,1995,1,5,54,6.5,6.6,1.5,-1.3,0.066,0.314,0.1939999999999999,0.467,0.13,2013-14
7938,7938,Jorge Gutierrez,BKN,25.0,190.5,88.45044,California-Berkeley,Mexico,Undrafted,Undrafted,Undrafted,15,4.1,1.5,2.0,-7.8,0.0139999999999999,0.095,0.141,0.523,0.204,2013-14
7966,7966,Joe Johnson,BKN,33.0,200.66,108.86208,Arkansas,USA,2001,1,10,79,15.8,3.4,2.7,1.1,0.022,0.102,0.2239999999999999,0.564,0.148,2013-14
8040,8040,Mirza Teletovic,BKN,28.0,205.74,109.769264,None,Bosnia,Undrafted,Undrafted,Undrafted,72,8.6,3.7,0.8,-3.4,0.05,0.175,0.2019999999999999,0.5589999999999999,0.069,2013-14
8089,8089,Andray Blatche,BKN,27.0,210.82,117.93392,None,USA,2005,2,49,73,11.2,5.3,1.5,0.4,0.089,0.1989999999999999,0.252,0.532,0.126,2013-14
8099,8099,Alan Anderson,BKN,31.0,198.12,99.79024,Michigan State,USA,Undrafted,Undrafted,Undrafted,78,7.2,2.2,1.0,0.2,0.027,0.089,0.16,0.525,0.074,2013-14
8129,8129,Jerome Jordan,BKN,28.0,213.36,114.758776,Tulsa,Jamaica,2010,2,44,44,3.1,2.4,0.3,-12.2,0.148,0.154,0.157,0.609,0.06,2014-15
8147,8147,Joe Johnson,BKN,34.0,200.66,108.86208,Arkansas,USA,2001,1,10,80,14.4,4.8,3.7,-2.5,0.022,0.136,0.205,0.523,0.1689999999999999,2014-15
8246,8246,Jarrett Jack,BKN,31.0,190.5,90.7184,Georgia Tech,USA,2005,1,22,80,12.0,3.1,4.7,-7.8,0.01,0.111,0.225,0.522,0.286,2014-15
8284,8284,Markel Brown,BKN,23.0,190.5,86.18248,Oklahoma State,USA,2014,2,44,47,4.6,2.3,0.8,-0.6,0.022,0.135,0.149,0.4589999999999999,0.07,2014-15
8303,8303,Thaddeus Young,BKN,27.0,203.2,100.243832,Georgia Tech,USA,2007,1,12,76,14.1,5.4,2.3,-4.4,0.0579999999999999,0.136,0.214,0.507,0.118,2014-15
8320,8320,Sergey Karasev,BKN,21.0,200.66,94.347136,None,Russia,2013,1,19,33,4.6,2.0,1.4,0.7,0.046,0.088,0.141,0.508,0.123,2014-15
8379,8379,Mirza Teletovic,BKN,29.0,205.74,109.769264,None,Bosnia,Undrafted,Undrafted,Undrafted,40,8.5,4.9,1.2,-1.9,0.034,0.1969999999999999,0.2,0.5,0.087,2014-15
8408,8408,Mason Plumlee,BKN,25.0,210.82,106.59412,Duke,USA,2013,1,22,82,8.7,6.2,0.9,-5.6,0.1159999999999999,0.221,0.195,0.57,0.069,2014-15
8476,8476,Bojan Bogdanovic,BKN,26.0,203.2,97.975872,None,Croatia,2011,2,31,78,9.0,2.7,0.9,-4.9,0.031,0.0969999999999999,0.172,0.562,0.057,2014-15
8487,8487,Brook Lopez,BKN,27.0,213.36,124.7378,Stanford,USA,2008,1,10,72,17.2,7.4,0.7,-2.5,0.113,0.17,0.262,0.5579999999999999,0.044,2014-15
8499,8499,Earl Clark,BKN,27.0,208.28,106.140528,Louisville,USA,2009,1,14,10,2.7,2.3,0.3,-14.1,0.011,0.2339999999999999,0.176,0.425,0.0579999999999999,2014-15
8507,8507,Alan Anderson,BKN,32.0,198.12,99.79024,Michigan State,USA,Undrafted,Undrafted,Undrafted,74,7.4,2.8,1.1,-1.4,0.02,0.109,0.142,0.563,0.074,2014-15
8523,8523,Andrei Kirilenko,BKN,34.0,205.74,106.59412,None,Russia,1999,1,24,7,0.4,1.1,0.1,-39.3,0.065,0.162,0.092,0.222,0.038,2014-15
8542,8542,Deron Williams,BKN,31.0,190.5,90.7184,Illinois,USA,2005,1,3,68,13.0,3.5,6.6,0.1,0.015,0.1119999999999999,0.223,0.504,0.326,2014-15
8566,8566,Darius Morris,BKN,24.0,193.04,88.45044,Michigan,USA,2011,2,41,38,2.2,0.7,1.3,-11.2,0.025,0.077,0.1989999999999999,0.377,0.281,2014-15
8597,8597,Cory Jefferson,BKN,24.0,205.74,98.883056,Baylor,USA,2014,2,60,50,3.7,2.9,0.3,6.8,0.1009999999999999,0.2,0.174,0.48,0.047,2014-15
