,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
45,45,Donald Royal,CHH,31.0,203.2,98.883056,Notre Dame,USA,1987,3,52,62,3.5,2.5,0.4,-4.6,0.073,0.1369999999999999,0.131,0.552,0.047,1996-97
53,53,Dell Curry,CHH,33.0,195.58,92.98636,Virginia Tech,USA,1986,1,15,68,14.8,3.1,1.7,1.6,0.024,0.098,0.226,0.562,0.104,1996-97
93,93,Glen Rice,CHH,30.0,203.2,99.79024,Michigan,USA,1989,1,4,79,26.8,4.0,2.0,3.2,0.025,0.087,0.272,0.605,0.088,1996-97
155,155,Anthony Mason,CHH,30.0,203.2,113.398,Tennessee State,USA,1988,3,53,73,16.2,11.4,5.7,2.6,0.074,0.239,0.179,0.585,0.216,1996-97
266,266,Ricky Pierce,CHH,37.0,193.04,97.52228,Rice,USA,1982,1,18,60,11.0,2.0,1.3,-1.6,0.035,0.078,0.231,0.583,0.111,1996-97
275,275,Rafael Addison,CHH,32.0,203.2,109.315672,Syracuse,USA,1986,2,39,41,3.1,1.1,0.8,-4.0,0.07,0.086,0.193,0.476,0.15,1996-97
289,289,Tony Smith,CHH,29.0,193.04,92.98636,Marquette,USA,1990,2,51,69,5.0,1.4,2.2,0.7,0.035,0.051,0.156,0.477,0.175,1996-97
302,302,Vlade Divac,CHH,29.0,215.9,117.93392,None,Serbia and Montenegro,1989,1,26,81,12.6,9.0,3.7,5.4,0.107,0.1969999999999999,0.1939999999999999,0.5329999999999999,0.172,1996-97
305,305,Tony Delk,CHH,23.0,187.96,85.728888,Kentucky,USA,1996,1,16,61,5.4,1.6,1.6,0.9,0.044,0.09,0.182,0.596,0.187,1996-97
326,326,Tom Chambers,CHH,38.0,208.28,99.79024,Utah,USA,1981,1,8,12,1.6,1.2,0.3,-33.6,0.043,0.1689999999999999,0.236,0.29,0.077,1996-97
401,401,Muggsy Bogues,CHH,32.0,160.02,63.956472,Wake Forest,USA,1987,1,12,65,8.0,2.2,7.2,6.0,0.017,0.074,0.149,0.5539999999999999,0.366,1996-97
422,422,Malik Rose,CHH,22.0,200.66,113.398,Drexel,USA,1996,2,44,54,3.0,3.0,0.6,1.3,0.1689999999999999,0.2189999999999999,0.161,0.515,0.089,1996-97
433,433,Matt Geiger,CHH,27.0,215.9,111.13004,Georgia Tech,USA,1992,2,42,49,8.9,5.3,0.8,0.9,0.12,0.179,0.215,0.5379999999999999,0.065,1996-97
450,450,Matt Geiger,CHH,28.0,215.9,111.13004,Georgia Tech,USA,1992,2,42,78,11.3,6.7,1.0,-1.1,0.128,0.214,0.231,0.544,0.076,1997-98
467,467,Michael McDonald,CHH,29.0,208.28,105.233344,New Orleans,USA,1995,2,55,1,0.0,1.0,0.0,-71.4,0.25,0.0,0.25,0.0,0.0,1997-98
553,553,Tony Farmer,CHH,28.0,205.74,111.13004,Nebraska,USA,Undrafted,Undrafted,Undrafted,27,2.5,1.2,0.2,-6.4,0.103,0.108,0.198,0.477,0.046,1997-98
591,591,Vlade Divac,CHH,30.0,215.9,117.93392,None,Serbia and Montenegro,1989,1,26,64,10.4,8.1,2.7,5.5,0.125,0.22,0.188,0.539,0.154,1997-98
596,596,Vernon Maxwell,CHH,32.0,193.04,81.64656,Florida,USA,1988,2,47,42,6.9,1.4,1.2,2.9,0.024,0.081,0.2289999999999999,0.512,0.154,1997-98
601,601,Travis Williams,CHH,29.0,200.66,113.398,South Carolina State,USA,Undrafted,Undrafted,Undrafted,39,3.5,2.4,0.5,-5.4,0.162,0.134,0.205,0.488,0.094,1997-98
669,669,Corey Beck,CHH,27.0,190.5,90.7184,Arkansas,USA,Undrafted,Undrafted,Undrafted,59,3.2,1.5,1.7,2.4,0.045,0.104,0.16,0.516,0.21,1997-98
