,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
0,0,Dennis Rodman,CHI,36.0,198.12,99.79024,Southeastern Oklahoma State,USA,1986,2,27,55,5.7,16.1,3.1,16.1,0.186,0.3229999999999999,0.1,0.479,0.113,1996-97
40,40,Dickey Simpkins,CHI,25.0,205.74,112.490816,Providence,USA,1994,1,21,48,1.9,1.9,0.6,-0.9,0.099,0.151,0.163,0.411,0.1119999999999999,1996-97
71,71,Jason Caffey,CHI,24.0,203.2,116.119552,Alabama,USA,1995,1,20,75,7.3,4.0,1.2,9.0,0.114,0.134,0.184,0.574,0.094,1996-97
117,117,Bill Wennington,CHI,34.0,213.36,111.13004,St. John's (NY),USA,1985,1,16,61,4.6,2.1,0.7,7.7,0.068,0.119,0.168,0.5379999999999999,0.079,1996-97
120,120,Bison Dele,CHI,28.0,210.82,117.93392,Arizona,USA,1991,1,10,9,7.0,3.7,1.3,0.9,0.118,0.154,0.2769999999999999,0.4529999999999999,0.14,1996-97
234,234,Scottie Pippen,CHI,31.0,200.66,103.418976,Central Arkansas,USA,1987,1,5,82,20.2,6.5,5.7,13.5,0.059,0.133,0.245,0.5539999999999999,0.237,1996-97
249,249,Ron Harper,CHI,33.0,198.12,97.975872,Miami (OH),USA,1986,1,8,76,6.3,2.5,2.5,14.0,0.03,0.091,0.127,0.5429999999999999,0.152,1996-97
251,251,Randy Brown,CHI,29.0,187.96,86.18248,New Mexico State,USA,1991,2,31,72,4.7,1.5,1.8,10.4,0.037,0.079,0.178,0.461,0.178,1996-97
270,270,Robert Parish,CHI,43.0,215.9,110.676448,Centenary (LA),USA,1976,1,8,43,3.7,2.1,0.5,14.9,0.114,0.13,0.201,0.514,0.0819999999999999,1996-97
309,309,Steve Kerr,CHI,31.0,190.5,81.64656,Arizona,USA,1988,2,50,82,8.1,1.6,2.1,10.1,0.018,0.062,0.13,0.667,0.14,1996-97
329,329,Toni Kukoc,CHI,28.0,210.82,105.233344,None,Croatia,1990,2,29,57,13.2,4.6,4.5,15.2,0.069,0.12,0.214,0.5529999999999999,0.2319999999999999,1996-97
379,379,Jud Buechler,CHI,29.0,198.12,103.418976,Arizona,USA,1990,2,38,76,1.8,1.7,0.8,5.4,0.07,0.121,0.12,0.423,0.121,1996-97
392,392,Michael Jordan,CHI,34.0,198.12,97.975872,North Carolina,USA,1984,1,3,82,29.6,5.9,4.3,13.4,0.042,0.132,0.331,0.5670000000000001,0.208,1996-97
417,417,Matt Steigenga,CHI,27.0,200.66,102.0582,Michigan State,USA,1992,2,52,2,1.5,1.5,1.0,-19.8,0.0,0.1669999999999999,0.341,0.307,0.3329999999999999,1996-97
419,419,Luc Longley,CHI,28.0,218.44,132.448864,New Mexico,USA,1991,1,7,59,9.1,5.6,2.4,10.4,0.095,0.159,0.1969999999999999,0.499,0.141,1996-97
469,469,Randy Brown,CHI,30.0,187.96,86.636072,New Mexico State,USA,1991,2,31,71,4.1,1.3,2.1,3.0,0.033,0.061,0.157,0.428,0.207,1997-98
479,479,Michael Jordan,CHI,35.0,198.12,97.975872,North Carolina,USA,1984,1,3,82,28.7,5.8,3.5,8.5,0.047,0.125,0.336,0.5329999999999999,0.174,1997-98
493,493,Luc Longley,CHI,29.0,218.44,132.448864,New Mexico,USA,1991,1,7,58,11.4,5.9,2.8,7.5,0.075,0.151,0.212,0.492,0.151,1997-98
496,496,Keith Booth,CHI,23.0,198.12,102.511792,Maryland,USA,1997,1,28,6,1.7,0.7,0.2,-10.0,0.1,0.125,0.236,0.579,0.077,1997-98
