,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
10,10,Elmer Bennett,DEN,27.0,182.88,77.11064,Notre Dame,USA,1992,2,38,9,2.4,0.4,1.2,-7.4,0.0,0.053,0.187,0.47,0.216,1996-97
17,17,Eric Murdock,DEN,29.0,185.42,86.18248,Providence,USA,1991,1,21,12,3.8,0.9,2.0,-1.4,0.01,0.102,0.188,0.588,0.436,1996-97
23,23,Ervin Johnson,DEN,29.0,210.82,111.13004,New Orleans,USA,1993,1,23,82,7.1,11.1,0.9,-5.9,0.103,0.294,0.114,0.5429999999999999,0.042,1996-97
77,77,Jeff McInnis,DEN,22.0,193.04,86.18248,North Carolina,USA,1996,2,37,13,5.0,0.5,1.4,-17.8,0.021,0.04,0.259,0.609,0.327,1996-97
90,90,George Zidek,DEN,23.0,213.36,119.748288,UCLA,USA,1995,1,22,52,2.8,1.7,0.3,-14.1,0.102,0.1689999999999999,0.195,0.5,0.064,1996-97
136,136,Antonio McDyess,DEN,22.0,205.74,99.79024,Alabama,USA,1995,1,2,74,18.3,7.3,1.4,-7.5,0.07,0.163,0.267,0.509,0.079,1996-97
149,149,Brooks Thompson,DEN,26.0,193.04,87.543256,Oklahoma State,USA,1994,1,27,67,6.6,1.4,2.7,-6.2,0.019,0.087,0.214,0.526,0.2769999999999999,1996-97
154,154,Anthony Goldwire,DEN,25.0,187.96,82.553744,Houston,USA,1994,2,52,60,6.5,1.4,3.7,-4.1,0.011,0.066,0.168,0.531,0.305,1996-97
165,165,Bryant Stith,DEN,26.0,195.58,94.347136,Virginia,USA,1992,1,13,52,14.9,4.2,2.6,-5.6,0.048,0.09,0.201,0.5479999999999999,0.125,1996-97
175,175,Dale Ellis,DEN,36.0,200.66,97.52228,Tennessee,USA,1983,1,9,82,16.6,3.6,2.0,-9.1,0.039,0.074,0.214,0.537,0.1,1996-97
191,191,Jerome Allen,DEN,24.0,193.04,83.46092800000001,Pennsylvania,USA,1995,2,49,76,3.0,1.3,2.0,-3.7,0.031,0.088,0.154,0.449,0.264,1996-97
228,228,Sarunas Marciulionis,DEN,33.0,195.58,90.7184,None,USA,1987,6,127,17,6.8,1.8,1.5,-7.6,0.057,0.086,0.27,0.496,0.188,1996-97
287,287,Vincent Askew,DEN,31.0,198.12,106.59412,Memphis,USA,1987,2,39,43,5.6,2.3,2.1,0.0,0.038,0.096,0.152,0.532,0.187,1996-97
328,328,Tom Hammonds,DEN,30.0,205.74,102.0582,Georgia Tech,USA,1989,1,9,81,6.2,5.0,0.8,-7.3,0.09,0.172,0.142,0.534,0.0579999999999999,1996-97
344,344,LaPhonso Ellis,DEN,27.0,203.2,108.86208,Notre Dame,USA,1992,1,5,55,21.9,7.0,2.4,-5.9,0.061,0.163,0.28,0.529,0.122,1996-97
358,358,Kenny Smith,DEN,32.0,190.5,77.11064,North Carolina,USA,1987,1,6,48,6.3,0.9,2.4,-14.2,0.006,0.0579999999999999,0.1939999999999999,0.58,0.262,1996-97
364,364,Jimmy King,DEN,23.0,195.58,95.25432,Michigan,USA,1995,2,35,2,3.0,1.0,1.0,-42.5,0.08,0.0,0.162,0.387,0.2,1996-97
470,470,Priest Lauderdale,DEN,24.0,223.52,147.4174,Central State (OH),USA,1996,1,28,39,3.7,2.6,0.5,-6.2,0.093,0.251,0.268,0.46,0.121,1997-98
504,504,Johnny Newman,DEN,34.0,200.66,92.98636,Richmond,USA,1986,2,29,74,14.7,1.9,1.9,-12.0,0.027,0.05,0.24,0.547,0.126,1997-98
510,510,Joe Wolf,DEN,33.0,210.82,104.32616,North Carolina,USA,1987,1,13,57,1.5,2.2,0.5,-9.3,0.067,0.179,0.11,0.347,0.08,1997-98
538,538,Kiwane Garris,DEN,23.0,187.96,83.007336,Illinois,USA,Undrafted,Undrafted,Undrafted,28,2.4,0.7,1.0,-17.4,0.016,0.0819999999999999,0.179,0.447,0.214,1997-98
547,547,LaPhonso Ellis,DEN,28.0,203.2,108.86208,Notre Dame,USA,1992,1,5,76,14.3,7.2,2.8,-13.2,0.065,0.187,0.2289999999999999,0.484,0.158,1997-98
556,556,Tony Battie,DEN,22.0,210.82,108.86208,Texas Tech,USA,1997,1,5,65,8.4,5.4,0.9,-15.6,0.1009999999999999,0.1669999999999999,0.2019999999999999,0.477,0.075,1997-98
666,666,Cory Alexander,DEN,25.0,185.42,86.18248,Virginia,USA,1995,1,29,60,8.1,2.4,3.5,-6.3,0.016,0.1169999999999999,0.2,0.5479999999999999,0.286,1997-98
696,696,Danny Fortson,DEN,22.0,200.66,117.93392,Cincinnati,USA,1997,1,10,80,10.2,5.6,1.0,-13.2,0.12,0.182,0.23,0.537,0.081,1997-98
725,725,Dean Garrett,DEN,31.0,210.82,113.398,Indiana,USA,1988,2,38,82,7.3,7.9,1.1,-15.4,0.098,0.193,0.126,0.465,0.0579999999999999,1997-98
762,762,Anthony Goldwire,DEN,26.0,187.96,82.553744,Houston,USA,1994,2,52,82,9.2,1.8,3.4,-13.0,0.021,0.06,0.166,0.524,0.226,1997-98
771,771,Bryant Stith,DEN,27.0,195.58,94.347136,Virginia,USA,1992,1,13,31,7.6,2.1,1.6,-14.5,0.024,0.089,0.19,0.447,0.122,1997-98
800,800,Bobby Jackson,DEN,25.0,185.42,83.91452,Minnesota,USA,1997,1,23,68,11.6,4.4,4.7,-12.5,0.043,0.128,0.2319999999999999,0.4529999999999999,0.288,1997-98
820,820,Eric Williams,DEN,25.0,203.2,99.79024,Providence,USA,1995,1,14,4,19.8,5.3,3.0,-7.6,0.07,0.105,0.257,0.489,0.143,1997-98
821,821,Eric Washington,DEN,24.0,193.04,86.18248,Alabama,USA,1997,2,46,66,7.7,1.9,1.2,-18.1,0.034,0.063,0.176,0.478,0.093,1997-98
871,871,Harold Ellis,DEN,27.0,195.58,99.79024,Morehouse,USA,Undrafted,Undrafted,Undrafted,27,6.1,1.9,0.7,-9.4,0.089,0.092,0.204,0.591,0.105,1997-98
890,890,Bryant Stith,DEN,28.0,195.58,94.347136,Virginia,USA,1992,1,13,46,7.0,2.3,1.8,-9.3,0.0279999999999999,0.077,0.139,0.498,0.113,1998-99
894,894,Carl Herrera,DEN,32.0,205.74,102.0582,Houston,USA,1990,2,30,28,2.3,2.2,0.1,-7.8,0.085,0.147,0.143,0.402,0.025,1998-99
904,904,Antonio McDyess,DEN,24.0,205.74,99.79024,Alabama,USA,1995,1,2,50,21.2,10.7,1.6,-5.9,0.0969999999999999,0.2289999999999999,0.273,0.515,0.085,1998-99
929,929,Cory Alexander,DEN,26.0,185.42,86.18248,Virginia,USA,1995,1,29,36,7.3,2.1,3.3,-1.1,0.01,0.102,0.2,0.467,0.275,1998-99
940,940,Danny Fortson,DEN,23.0,200.66,117.93392,Cincinnati,USA,1997,1,10,50,11.0,11.6,0.6,-7.1,0.1669999999999999,0.312,0.179,0.564,0.038,1998-99
951,951,Chauncey Billups,DEN,22.0,190.5,91.625584,Colorado,USA,1997,1,3,45,13.9,2.1,3.8,-6.0,0.019,0.059,0.203,0.547,0.192,1998-99
1008,1008,Tyson Wheeler,DEN,23.0,177.8,74.84268,Rhode Island,USA,1998,2,47,1,4.0,0.0,2.0,62.2,0.0,0.0,0.32,1.064,0.667,1998-99
1091,1091,Monty Williams,DEN,27.0,203.2,102.0582,Notre Dame,USA,1994,1,24,1,1.0,0.0,0.0,-21.6,0.0,0.0,0.201,0.174,0.0,1998-99
