,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
44,44,Don Reid,DET,23.0,203.2,113.398,Georgetown,USA,1995,2,58,47,2.8,2.1,0.3,-1.5,0.092,0.159,0.154,0.523,0.053,1996-97
96,96,Grant Long,DET,31.0,205.74,112.490816,Eastern Michigan,USA,1988,2,33,65,5.0,3.4,0.6,4.0,0.096,0.15,0.154,0.523,0.0579999999999999,1996-97
107,107,Grant Hill,DET,24.0,203.2,102.0582,Duke,USA,1994,1,3,80,21.4,9.0,7.3,6.9,0.049,0.2319999999999999,0.283,0.556,0.356,1996-97
139,139,Aaron McKie,DET,24.0,195.58,94.800728,Temple,USA,1994,1,17,83,5.2,2.7,1.9,5.2,0.031,0.129,0.147,0.524,0.163,1996-97
244,244,Jerome Williams,DET,24.0,205.74,93.439952,Georgetown,USA,1996,1,26,33,1.5,1.5,0.2,3.0,0.144,0.182,0.181,0.419,0.071,1996-97
250,250,Randolph Childress,DET,24.0,187.96,85.275296,Wake Forest,USA,1995,1,19,23,1.7,0.3,0.7,-0.9,0.008,0.037,0.176,0.4479999999999999,0.205,1996-97
265,265,Rick Mahorn,DET,38.0,208.28,117.93392,Hampton,USA,1980,2,35,22,2.5,2.4,0.3,-0.1,0.091,0.192,0.1639999999999999,0.44,0.049,1996-97
320,320,Theo Ratliff,DET,24.0,208.28,102.0582,Wyoming,USA,1995,1,18,76,5.8,3.4,0.2,7.3,0.11,0.134,0.168,0.5660000000000001,0.016,1996-97
330,330,Terry Mills,DET,29.0,208.28,113.398,Michigan,USA,1990,1,16,79,10.8,4.8,1.3,11.4,0.045,0.188,0.205,0.585,0.089,1996-97
353,353,Lindsey Hunter,DET,26.0,187.96,88.45044,Jackson State,USA,1993,1,10,82,14.2,2.8,1.9,5.1,0.025,0.071,0.201,0.515,0.088,1996-97
355,355,Litterial Green,DET,27.0,185.42,83.91452,Georgia,USA,1992,2,39,45,2.0,0.5,0.9,17.0,0.025,0.055,0.159,0.531,0.2239999999999999,1996-97
367,367,Joe Dumars,DET,34.0,190.5,88.45044,McNeese State,USA,1985,1,18,79,14.7,2.4,4.0,6.1,0.017,0.065,0.19,0.586,0.185,1996-97
389,389,Michael Curry,DET,28.0,195.58,95.25432,Georgia Southern,USA,Undrafted,Undrafted,Undrafted,81,3.9,1.5,0.5,6.7,0.024,0.094,0.12,0.5920000000000001,0.062,1996-97
408,408,Otis Thorpe,DET,34.0,208.28,111.583632,Providence,USA,1984,1,9,79,13.1,7.9,1.7,6.2,0.108,0.182,0.2,0.563,0.089,1996-97
461,461,Malik Sealy,DET,28.0,203.2,90.7184,St. John's (NY),USA,1992,1,14,77,7.7,2.8,1.3,4.2,0.035,0.126,0.187,0.505,0.108,1997-98
514,514,Joe Dumars,DET,35.0,190.5,88.45044,McNeese State,USA,1985,1,18,72,13.1,1.4,3.5,0.8,0.0069999999999999,0.047,0.191,0.5489999999999999,0.187,1997-98
526,526,Lindsey Hunter,DET,27.0,187.96,88.45044,Jackson State,USA,1993,1,10,71,12.1,3.5,3.2,-0.3,0.0289999999999999,0.088,0.191,0.472,0.15,1997-98
578,578,Jerry Stackhouse,DET,23.0,198.12,98.883056,North Carolina,USA,1995,1,3,79,15.8,3.4,3.1,-0.6,0.049,0.074,0.25,0.532,0.17,1997-98
622,622,Rick Mahorn,DET,39.0,208.28,117.93392,Hampton,USA,1980,2,35,59,2.4,3.3,0.3,5.5,0.108,0.207,0.118,0.49,0.034,1997-98
632,632,Scot Pollard,DET,23.0,210.82,120.20188,Kansas,USA,1997,1,19,33,2.7,2.2,0.3,0.8,0.133,0.15,0.136,0.555,0.05,1997-98
637,637,Steve Henson,DET,30.0,185.42,81.64656,Kansas State,USA,1990,2,44,23,1.6,0.1,0.2,10.2,0.0,0.0409999999999999,0.249,0.619,0.105,1997-98
659,659,Jerome Williams,DET,25.0,205.74,93.439952,Georgetown,USA,1996,1,26,77,5.3,4.9,0.6,6.6,0.155,0.185,0.147,0.568,0.061,1997-98
705,705,Don Reid,DET,24.0,203.2,113.398,Georgetown,USA,1995,2,58,68,3.5,2.6,0.4,0.9,0.093,0.122,0.1119999999999999,0.574,0.04,1997-98
783,783,Charles O'Bannon,DET,23.0,195.58,94.800728,UCLA,USA,1997,2,31,30,2.1,1.1,0.6,4.0,0.065,0.11,0.152,0.423,0.1119999999999999,1997-98
787,787,Bison Dele,DET,29.0,210.82,117.93392,Arizona,USA,1991,1,10,78,16.2,8.9,1.2,0.4,0.1009999999999999,0.22,0.241,0.542,0.068,1997-98
830,830,Grant Hill,DET,25.0,203.2,102.0582,Duke,USA,1994,1,3,81,21.1,7.7,6.8,3.2,0.033,0.192,0.272,0.52,0.309,1997-98
836,836,Eric Montross,DET,26.0,213.36,122.46984,North Carolina,USA,1994,1,9,48,2.9,4.1,0.2,-12.3,0.111,0.223,0.126,0.427,0.025,1997-98
