,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
50,50,Donyell Marshall,GSW,24.0,205.74,104.32616,Connecticut,USA,1994,1,4,61,7.3,4.5,0.9,-8.6,0.098,0.21,0.222,0.478,0.088,1996-97
54,54,Felton Spencer,GSW,29.0,213.36,127.00576,Louisville,USA,1990,1,6,73,5.1,5.7,0.3,-1.2,0.124,0.205,0.128,0.524,0.02,1996-97
113,113,B.J. Armstrong,GSW,29.0,187.96,79.3786,Iowa,USA,1989,1,18,49,7.9,1.5,2.6,-6.5,0.008,0.078,0.186,0.5379999999999999,0.209,1996-97
119,119,Bimbo Coles,GSW,29.0,187.96,82.553744,Virginia Tech,USA,1990,2,40,51,6.1,2.3,2.9,-6.3,0.04,0.078,0.153,0.4629999999999999,0.204,1996-97
151,151,Andrew DeClercq,GSW,24.0,208.28,104.32616,Florida,USA,1995,2,34,71,5.3,4.2,0.5,-5.6,0.132,0.198,0.173,0.552,0.05,1996-97
215,215,Chris Mullin,GSW,33.0,200.66,97.52228,St. John's (NY),USA,1985,1,7,79,14.5,4.0,4.1,-4.9,0.033,0.106,0.175,0.645,0.195,1996-97
231,231,Scott Burrell,GSW,26.0,200.66,102.511792,Connecticut,USA,1993,1,20,57,5.2,2.8,1.3,1.4,0.061,0.134,0.1689999999999999,0.485,0.121,1996-97
255,255,Ray Owes,GSW,24.0,205.74,101.604608,Arizona,USA,Undrafted,Undrafted,Undrafted,57,3.1,2.9,0.3,-8.0,0.1169999999999999,0.187,0.166,0.442,0.043,1996-97
325,325,Todd Fuller,GSW,22.0,210.82,115.66596,North Carolina State,USA,1996,1,11,75,4.0,3.3,0.3,-8.6,0.127,0.171,0.166,0.48,0.04,1996-97
350,350,Latrell Sprewell,GSW,26.0,195.58,86.18248,Alabama,USA,1992,1,24,80,24.2,4.6,6.3,-3.3,0.021,0.11,0.271,0.57,0.27,1996-97
369,369,Joe Smith,GSW,21.0,208.28,102.0582,Maryland,USA,1995,1,1,80,18.7,8.5,1.6,-3.3,0.103,0.163,0.239,0.512,0.07,1996-97
388,388,Lou Roe,GSW,24.0,200.66,99.79024,Massachusetts,USA,1995,2,30,17,2.4,0.8,0.4,-14.4,0.054,0.069,0.249,0.355,0.103,1996-97
414,414,Melvin Booker,GSW,24.0,187.96,83.91452,Missouri,USA,Undrafted,Undrafted,Undrafted,21,5.8,1.4,2.5,-3.8,0.018,0.064,0.144,0.536,0.196,1996-97
431,431,Mark Price,GSW,33.0,182.88,81.64656,Georgia Tech,USA,1986,2,25,70,11.3,2.6,4.9,-3.1,0.023,0.088,0.192,0.597,0.289,1996-97
484,484,Muggsy Bogues,GSW,33.0,160.02,63.956472,Wake Forest,USA,1987,1,12,61,5.7,2.2,5.4,-8.4,0.02,0.074,0.129,0.492,0.344,1997-98
517,517,Jim Jackson,GSW,27.0,198.12,99.79024,Ohio State,USA,1992,1,4,79,15.7,5.1,4.8,-6.1,0.048,0.1,0.2189999999999999,0.505,0.222,1997-98
531,531,Latrell Sprewell,GSW,27.0,195.58,86.18248,Alabama,USA,1992,1,24,14,21.4,3.6,4.9,-16.7,0.012,0.091,0.273,0.47,0.2269999999999999,1997-98
555,555,Tony Delk,GSW,24.0,187.96,87.089664,Kentucky,USA,1996,1,16,77,10.1,2.2,2.2,-9.3,0.024,0.086,0.254,0.452,0.1939999999999999,1997-98
561,561,Todd Fuller,GSW,23.0,210.82,115.66596,North Carolina State,USA,1996,1,11,57,4.0,3.4,0.2,-4.6,0.099,0.233,0.187,0.473,0.027,1997-98
673,673,Clar. Weatherspoon,GSW,27.0,200.66,108.86208,Southern Mississippi,USA,1992,1,9,79,9.3,7.5,1.1,-4.0,0.096,0.1939999999999999,0.1639999999999999,0.504,0.065,1997-98
710,710,Donyell Marshall,GSW,25.0,205.74,104.32616,Connecticut,USA,1994,1,4,73,15.4,8.6,2.2,-9.5,0.0819999999999999,0.173,0.221,0.474,0.109,1997-98
750,750,Adonal Foyle,GSW,23.0,208.28,113.398,Colgate,St. Vincent & Grenadines,1997,1,8,55,3.0,3.3,0.3,-11.8,0.1119999999999999,0.182,0.162,0.418,0.037,1997-98
786,786,Bimbo Coles,GSW,30.0,187.96,82.553744,Virginia Tech,USA,1990,2,40,53,8.0,2.3,4.7,-12.2,0.012,0.078,0.166,0.444,0.28,1997-98
796,796,Brandon Williams,GSW,23.0,198.12,97.52228,Davidson,USA,Undrafted,Undrafted,Undrafted,9,4.1,1.7,0.3,-2.4,0.031,0.072,0.182,0.357,0.031,1997-98
807,807,Felton Spencer,GSW,30.0,213.36,120.20188,Louisville,USA,1990,1,6,68,2.4,3.3,0.3,-11.3,0.12,0.187,0.114,0.495,0.033,1997-98
814,814,Gerald Madkins,GSW,29.0,193.04,90.7184,UCLA,USA,Undrafted,Undrafted,Undrafted,19,1.9,0.8,2.4,-2.8,0.009,0.063,0.094,0.499,0.313,1997-98
819,819,Erick Dampier,GSW,22.0,210.82,120.20188,Mississippi State,USA,1996,1,10,82,11.8,8.7,1.1,-10.1,0.108,0.182,0.191,0.502,0.06,1997-98
827,827,Duane Ferrell,GSW,33.0,200.66,97.52228,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,50,1.9,0.9,0.5,-17.8,0.0559999999999999,0.055,0.13,0.389,0.093,1997-98
855,855,Jeff Grayer,GSW,32.0,195.58,95.25432,Iowa State,USA,1988,1,13,5,2.0,0.8,0.4,-7.3,0.0,0.1,0.19,0.455,0.118,1997-98
