,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
5,5,Eddie Johnson,HOU,38.0,200.66,97.52228,Illinois,USA,1981,2,29,52,8.2,2.7,1.0,4.1,0.034,0.126,0.22,0.541,0.102,1996-97
12,12,Emanual Davis,HOU,28.0,195.58,87.996848,Delaware State,USA,Undrafted,Undrafted,Undrafted,13,5.0,1.7,2.0,6.6,0.011,0.098,0.144,0.565,0.191,1996-97
104,104,Hakeem Olajuwon,HOU,34.0,213.36,115.66596,Houston,Nigeria,1984,1,1,78,23.2,9.2,3.0,6.5,0.075,0.206,0.308,0.5579999999999999,0.158,1996-97
128,128,Brent Price,HOU,28.0,185.42,83.91452,Oklahoma,USA,1992,2,32,25,5.0,1.2,2.6,2.9,0.032,0.052,0.17,0.551,0.249,1996-97
168,168,Clyde Drexler,HOU,35.0,200.66,100.697424,Houston,USA,1983,1,14,62,18.0,6.0,5.7,7.5,0.062,0.122,0.231,0.5479999999999999,0.261,1996-97
202,202,Charles Barkley,HOU,34.0,198.12,114.305184,Auburn,USA,1984,1,5,53,19.2,13.5,4.7,7.5,0.127,0.28,0.23,0.581,0.208,1996-97
203,203,Charles Jones,HOU,40.0,205.74,97.52228,Albany State (GA),USA,1979,8,165,12,0.3,1.1,0.3,2.6,0.068,0.103,0.025,0.4,0.046,1996-97
224,224,Sam Mack,HOU,27.0,200.66,99.79024,Houston,USA,Undrafted,Undrafted,Undrafted,52,5.6,2.0,1.1,-1.7,0.026,0.104,0.165,0.521,0.108,1996-97
236,236,Sedale Threatt,HOU,35.0,187.96,83.91452,West Virginia Tech,USA,1983,6,139,21,3.3,1.1,1.9,-3.5,0.017,0.063,0.122,0.451,0.185,1996-97
252,252,Randy Livingston,HOU,22.0,193.04,94.800728,Louisiana State,USA,1996,2,42,64,3.9,1.5,2.4,0.3,0.042,0.071,0.1689999999999999,0.487,0.248,1996-97
278,278,Tracy Moore,HOU,31.0,193.04,90.7184,Tulsa,USA,Undrafted,Undrafted,Undrafted,27,3.7,1.0,0.7,-7.7,0.0559999999999999,0.068,0.208,0.502,0.147,1996-97
340,340,Kevin Willis,HOU,34.0,213.36,111.13004,Michigan State,USA,1984,1,11,75,11.2,7.5,0.9,0.9,0.092,0.241,0.22,0.515,0.064,1996-97
370,370,Joe Stephens,HOU,24.0,200.66,95.25432,Arkansas-Little Rock,USA,Undrafted,Undrafted,Undrafted,2,1.5,1.5,0.0,-17.4,0.25,0.111,0.2789999999999999,0.3,0.0,1996-97
407,407,Othella Harrington,HOU,23.0,205.74,106.59412,Georgetown,USA,1996,2,30,57,4.8,3.5,0.3,0.4,0.103,0.155,0.154,0.57,0.033,1996-97
416,416,Matt Maloney,HOU,25.0,190.5,90.7184,Pennsylvania,USA,Undrafted,Undrafted,Undrafted,82,9.4,2.0,3.7,6.3,0.01,0.064,0.147,0.585,0.188,1996-97
425,425,Mario Elie,HOU,33.0,195.58,95.25432,American International,USA,1985,7,160,78,11.7,3.0,4.0,5.6,0.0279999999999999,0.075,0.139,0.662,0.172,1996-97
438,438,Matt Bullard,HOU,30.0,208.28,106.59412,Iowa,USA,Undrafted,Undrafted,Undrafted,71,4.5,1.6,0.9,0.9,0.016,0.115,0.151,0.535,0.099,1996-97
