,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
21,21,Erick Dampier,IND,21.0,210.82,120.20188,Mississippi State,USA,1996,1,10,72,5.1,4.1,0.6,-2.0,0.107,0.216,0.218,0.451,0.074,1996-97
24,24,Duane Ferrell,IND,32.0,200.66,97.52228,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,62,6.4,2.3,1.1,2.3,0.066,0.091,0.181,0.521,0.1,1996-97
35,35,Derrick McKey,IND,30.0,205.74,92.98636,Alabama,USA,1987,1,9,50,8.0,4.8,2.7,-0.2,0.067,0.127,0.1669999999999999,0.462,0.154,1996-97
64,64,Jalen Rose,IND,24.0,203.2,95.25432,Michigan,USA,1994,1,13,66,7.3,1.8,2.3,1.3,0.0279999999999999,0.095,0.214,0.541,0.2339999999999999,1996-97
106,106,Haywoode Workman,IND,31.0,187.96,81.64656,Oral Roberts,USA,1989,2,49,4,5.5,1.8,2.8,-7.3,0.0559999999999999,0.045,0.139,0.5379999999999999,0.2339999999999999,1996-97
129,129,Brent Scott,IND,26.0,208.28,113.398,Rice,USA,Undrafted,Undrafted,Undrafted,16,1.2,0.6,0.2,4.9,0.073,0.109,0.186,0.484,0.086,1996-97
160,160,Antonio Davis,IND,28.0,205.74,104.32616,Texas-El Paso,USA,1990,2,45,82,10.5,7.3,0.8,3.4,0.098,0.206,0.187,0.537,0.049,1996-97
174,174,Dale Davis,IND,28.0,210.82,104.32616,Clemson,USA,1991,1,13,80,10.4,9.7,0.7,-0.2,0.138,0.215,0.159,0.532,0.04,1996-97
185,185,Darvin Ham,IND,23.0,200.66,99.79024,Texas Tech,USA,Undrafted,Undrafted,Undrafted,36,2.3,1.6,0.4,-2.0,0.109,0.0969999999999999,0.14,0.536,0.072,1996-97
220,220,Fred Hoiberg,IND,24.0,193.04,92.079176,Iowa State,USA,1995,2,52,47,4.8,1.7,0.9,4.9,0.0279999999999999,0.146,0.172,0.59,0.122,1996-97
258,258,Reggie Miller,IND,31.0,200.66,83.91452,UCLA,USA,1987,1,11,81,21.6,3.5,3.4,0.9,0.021,0.092,0.25,0.603,0.17,1996-97
267,267,Rik Smits,IND,30.0,223.52,120.20188,Marist,USA,1988,1,2,52,17.1,6.9,1.3,1.4,0.085,0.201,0.289,0.535,0.083,1996-97
280,280,Travis Best,IND,24.0,180.34,82.553744,Georgia Tech,USA,1995,1,23,76,9.9,2.2,4.2,2.5,0.021,0.074,0.193,0.5329999999999999,0.265,1996-97
345,345,LaSalle Thompson,IND,36.0,208.28,111.13004,Texas,USA,1982,1,5,26,0.4,1.3,0.1,-12.8,0.062,0.205,0.098,0.231,0.024,1996-97
430,430,Mark Jackson,IND,32.0,190.5,83.91452,St. John's (NY),USA,1987,1,18,82,9.9,4.8,11.4,-2.0,0.035,0.1159999999999999,0.155,0.525,0.4639999999999999,1996-97
449,449,Mark West,IND,37.0,208.28,111.583632,Old Dominion,USA,1983,2,30,15,1.5,1.0,0.1,-4.5,0.067,0.103,0.135,0.486,0.036,1997-98
453,453,Mark Pope,IND,25.0,208.28,106.59412,Kentucky,USA,1996,2,52,28,1.4,0.9,0.3,-0.2,0.0559999999999999,0.115,0.145,0.402,0.062,1997-98
454,454,Mark Jackson,IND,33.0,190.5,83.91452,St. John's (NY),USA,1987,1,18,82,8.3,3.9,8.7,10.2,0.035,0.1159999999999999,0.166,0.501,0.4429999999999999,1997-98
576,576,Travis Best,IND,25.0,180.34,82.553744,Georgia Tech,USA,1995,1,23,82,6.5,1.5,3.4,2.2,0.023,0.074,0.204,0.498,0.331,1997-98
620,620,Rik Smits,IND,31.0,223.52,120.20188,Marist,USA,1988,1,2,73,16.7,6.9,1.4,10.7,0.079,0.203,0.292,0.532,0.091,1997-98
628,628,Reggie Miller,IND,32.0,200.66,83.91452,UCLA,USA,1987,1,11,81,19.5,2.9,2.1,10.5,0.021,0.075,0.237,0.619,0.106,1997-98
665,665,Dale Davis,IND,29.0,210.82,104.32616,Clemson,USA,1991,1,13,78,8.0,7.8,0.9,10.1,0.134,0.193,0.14,0.546,0.049,1997-98
691,691,Chris Mullin,IND,34.0,200.66,97.52228,St. John's (NY),USA,1985,1,7,82,11.3,3.0,2.3,10.6,0.022,0.107,0.1889999999999999,0.607,0.135,1997-98
700,700,Derrick McKey,IND,31.0,208.28,102.0582,Alabama,USA,1987,1,9,57,6.3,3.7,1.5,2.2,0.073,0.126,0.1639999999999999,0.497,0.119,1997-98
737,737,Austin Croshere,IND,23.0,205.74,106.59412,Providence,USA,1997,1,12,26,2.9,1.7,0.3,-3.1,0.047,0.1689999999999999,0.1939999999999999,0.412,0.052,1997-98
742,742,Antonio Davis,IND,29.0,205.74,104.32616,Texas-El Paso,USA,1990,2,45,82,9.6,6.8,0.7,5.8,0.111,0.1969999999999999,0.177,0.5579999999999999,0.049,1997-98
806,806,Etdrick Bohannon,IND,25.0,205.74,99.79024,Auburn-Montgomery,USA,Undrafted,Undrafted,Undrafted,5,0.0,1.2,0.2,-20.6,0.143,0.222,0.256,0.0,0.143,1997-98
808,808,Fred Hoiberg,IND,25.0,193.04,92.079176,Iowa State,USA,1995,2,52,65,4.0,1.9,0.7,1.5,0.02,0.142,0.15,0.517,0.089,1997-98
844,844,Jalen Rose,IND,25.0,203.2,95.25432,Michigan,USA,1994,1,13,82,9.4,2.4,1.9,1.9,0.021,0.12,0.239,0.545,0.18,1997-98
907,907,Austin Croshere,IND,24.0,205.74,106.59412,Providence,USA,1997,1,12,27,3.4,1.7,0.4,-12.5,0.071,0.152,0.208,0.54,0.075,1998-99
932,932,Dale Davis,IND,30.0,210.82,104.32616,Clemson,USA,1991,1,13,50,8.0,8.3,0.4,6.9,0.1369999999999999,0.205,0.138,0.5589999999999999,0.025,1998-99
962,962,Chris Mullin,IND,35.0,200.66,97.52228,St. John's (NY),USA,1985,1,7,50,10.1,3.2,1.6,6.2,0.027,0.127,0.1939999999999999,0.616,0.1119999999999999,1998-99
968,968,Antonio Davis,IND,30.0,205.74,104.32616,Texas-El Paso,USA,1990,2,45,49,9.4,7.0,0.7,1.2,0.108,0.22,0.181,0.535,0.049,1998-99
972,972,Travis Best,IND,26.0,180.34,82.553744,Georgia Tech,USA,1995,1,23,49,7.1,1.6,3.4,2.2,0.022,0.073,0.188,0.507,0.308,1998-99
