,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
1,1,Dwayne Schintzius,LAC,28.0,215.9,117.93392,Florida,USA,1990,1,24,15,2.3,1.5,0.3,12.3,0.078,0.151,0.175,0.43,0.048,1996-97
18,18,Eric Piatkowski,LAC,26.0,200.66,97.52228,Nebraska,USA,1994,1,15,65,6.0,1.6,0.8,2.4,0.071,0.088,0.22,0.579,0.111,1996-97
122,122,Bo Outlaw,LAC,26.0,203.2,95.25432,Houston,USA,Undrafted,Undrafted,Undrafted,82,7.6,5.5,1.9,4.0,0.092,0.152,0.129,0.602,0.113,1996-97
127,127,Brent Barry,LAC,25.0,198.12,88.45044,Oregon State,USA,1995,1,15,59,7.5,1.9,2.6,4.1,0.03,0.089,0.2,0.526,0.2239999999999999,1996-97
183,183,Darrick Martin,LAC,26.0,180.34,77.11064,UCLA,USA,Undrafted,Undrafted,Undrafted,82,10.9,1.4,4.1,-4.5,0.016,0.06,0.2319999999999999,0.539,0.292,1996-97
263,263,Richard Manning,LAC,27.0,210.82,111.13004,Washington,USA,1993,2,40,26,2.9,1.5,0.1,-6.8,0.079,0.136,0.211,0.425,0.027,1996-97
273,273,Rodney Rogers,LAC,26.0,200.66,115.66596,Wake Forest,USA,1993,1,9,81,13.2,5.1,2.7,-3.5,0.063,0.132,0.223,0.53,0.152,1996-97
277,277,Stanley Roberts,LAC,27.0,213.36,131.54168,Louisiana State,USA,1991,1,23,18,9.5,5.1,0.5,2.6,0.071,0.218,0.238,0.485,0.049,1996-97
318,318,Terry Dehere,LAC,25.0,193.04,86.18248,Seton Hall,USA,1993,1,13,73,6.4,1.3,2.2,-0.5,0.016,0.088,0.233,0.524,0.261,1996-97
333,333,Pooh Richardson,LAC,31.0,185.42,81.64656,UCLA,USA,1989,1,10,59,5.6,1.7,2.9,-5.2,0.026,0.08,0.178,0.455,0.271,1996-97
334,334,Kevin Duckworth,LAC,33.0,213.36,136.0776,Eastern Illinois,USA,1986,2,33,26,4.0,2.3,0.6,-19.5,0.07,0.123,0.172,0.473,0.069,1996-97
346,346,Lamond Murray,LAC,24.0,200.66,107.047712,California,USA,1994,1,7,74,7.4,3.1,0.8,-1.4,0.071,0.138,0.209,0.52,0.077,1996-97
386,386,Lorenzen Wright,LAC,21.0,210.82,108.86208,Memphis,USA,1996,1,7,77,7.3,6.1,0.6,-3.7,0.12,0.168,0.146,0.503,0.039,1996-97
418,418,Loy Vaught,LAC,29.0,205.74,108.86208,Michigan,USA,1990,1,13,82,14.9,10.0,1.3,-7.7,0.088,0.255,0.208,0.523,0.07,1996-97
423,423,Malik Sealy,LAC,27.0,203.2,90.7184,St. John's (NY),USA,1992,1,14,80,13.5,3.0,2.1,-8.0,0.027,0.09,0.222,0.504,0.114,1996-97
447,447,Maurice Taylor,LAC,21.0,205.74,117.93392,Michigan,USA,1997,1,14,71,11.5,4.2,0.7,-9.5,0.089,0.136,0.262,0.521,0.069,1997-98
472,472,Pooh Richardson,LAC,32.0,185.42,81.64656,UCLA,USA,1989,1,10,69,4.2,1.4,3.3,-12.8,0.015,0.072,0.144,0.411,0.28,1997-98
519,519,Keith Closs,LAC,22.0,220.98,96.161504,Central Connecticut State,USA,Undrafted,Undrafted,Undrafted,58,4.0,2.9,0.3,-8.0,0.092,0.155,0.162,0.482,0.0409999999999999,1997-98
523,523,Lorenzen Wright,LAC,22.0,210.82,108.86208,Memphis,USA,1996,1,7,69,9.0,8.8,0.8,-5.5,0.099,0.233,0.156,0.49,0.044,1997-98
534,534,Loy Vaught,LAC,30.0,205.74,104.32616,Michigan,USA,1990,1,13,10,7.5,6.5,0.7,-16.6,0.062,0.228,0.168,0.428,0.045,1997-98
535,535,Lamond Murray,LAC,25.0,200.66,107.047712,California,USA,1994,1,7,79,15.4,6.1,1.8,-8.2,0.077,0.14,0.223,0.5479999999999999,0.099,1997-98
605,605,Stojko Vrankovic,LAC,34.0,218.44,117.93392,None,USA,Undrafted,Undrafted,Undrafted,65,3.0,4.0,0.6,-6.9,0.081,0.21,0.1169999999999999,0.4539999999999999,0.053,1997-98
616,616,Rodney Rogers,LAC,27.0,200.66,115.66596,Wake Forest,USA,1993,1,9,76,15.1,5.6,2.7,-10.0,0.07,0.127,0.2269999999999999,0.532,0.139,1997-98
712,712,Charles Smith,LAC,22.0,193.04,87.996848,New Mexico,USA,1997,1,26,34,3.5,0.8,0.6,-7.5,0.05,0.052,0.233,0.4579999999999999,0.128,1997-98
717,717,Darrick Martin,LAC,27.0,180.34,77.11064,UCLA,USA,Undrafted,Undrafted,Undrafted,82,10.3,2.0,4.0,-5.8,0.009,0.072,0.19,0.509,0.23,1997-98
838,838,Eric Piatkowski,LAC,27.0,200.66,97.52228,Nebraska,USA,1994,1,15,67,11.3,3.5,1.3,-8.3,0.045,0.11,0.184,0.591,0.084,1997-98
846,846,James Collins,LAC,24.0,193.04,88.904032,Florida State,USA,1997,2,36,23,2.6,0.6,0.1,-13.0,0.0579999999999999,0.067,0.251,0.482,0.0559999999999999,1997-98
848,848,James Robinson,LAC,27.0,187.96,81.64656,Alabama,USA,1993,1,21,70,7.7,1.6,1.9,-11.6,0.033,0.072,0.2269999999999999,0.494,0.1939999999999999,1997-98
872,872,Ike Austin,LAC,28.0,208.28,122.46984,Arizona State,USA,1991,2,48,78,13.5,7.1,2.2,-2.5,0.104,0.181,0.248,0.512,0.14,1997-98
880,880,Brian Skinner,LAC,23.0,205.74,115.66596,Baylor,USA,1998,1,22,21,4.1,2.5,0.0,0.5,0.085,0.152,0.182,0.503,0.0069999999999999,1998-99
943,943,Darrick Martin,LAC,28.0,180.34,77.11064,UCLA,USA,Undrafted,Undrafted,Undrafted,37,8.0,1.3,3.9,-11.2,0.006,0.057,0.184,0.475,0.257,1998-99
949,949,Charles Smith,LAC,23.0,193.04,87.996848,New Mexico,USA,1997,1,26,23,3.7,1.0,0.6,-15.4,0.025,0.069,0.178,0.4039999999999999,0.071,1998-99
991,991,Troy Hudson,LAC,23.0,185.42,77.11064,Southern Illinois,USA,Undrafted,Undrafted,Undrafted,25,6.8,2.2,3.7,-7.4,0.032,0.094,0.176,0.507,0.286,1998-99
1010,1010,Tyrone Nesby,LAC,23.0,198.12,102.0582,Nevada-Las Vegas,USA,Undrafted,Undrafted,Undrafted,50,10.1,3.5,1.6,-6.4,0.049,0.115,0.183,0.5429999999999999,0.109,1998-99
1042,1042,Stojko Vrankovic,LAC,35.0,218.44,117.93392,None,USA,Undrafted,Undrafted,Undrafted,2,1.0,3.0,0.0,-56.2,0.267,0.222,0.14,0.25,0.0,1998-99
1050,1050,Sherman Douglas,LAC,32.0,185.42,88.45044,Syracuse,USA,1989,2,28,30,8.2,1.9,4.1,-10.4,0.021,0.064,0.171,0.48,0.248,1998-99
1076,1076,Maurice Taylor,LAC,22.0,205.74,117.93392,Michigan,USA,1997,1,14,46,16.8,5.3,1.5,-12.2,0.075,0.119,0.27,0.505,0.087,1998-99
1081,1081,Michael Olowokandi,LAC,24.0,213.36,122.016248,Pacific,Nigeria,1998,1,1,45,8.9,7.9,0.6,-12.1,0.107,0.24,0.1939999999999999,0.445,0.034,1998-99
1105,1105,Lamond Murray,LAC,26.0,200.66,107.047712,California,USA,1994,1,7,50,12.2,3.9,1.2,-13.3,0.049,0.13,0.254,0.473,0.089,1998-99
1114,1114,Lorenzen Wright,LAC,23.0,210.82,118.841104,Memphis,USA,1996,1,7,48,6.6,7.5,0.7,-8.0,0.141,0.237,0.143,0.512,0.049,1998-99
1133,1133,Rodney Rogers,LAC,28.0,200.66,115.66596,Wake Forest,USA,1993,1,9,47,7.4,3.8,1.6,-11.5,0.073,0.148,0.192,0.51,0.148,1998-99
1174,1174,Pooh Richardson,LAC,33.0,185.42,81.64656,UCLA,USA,1989,1,10,11,2.5,1.2,2.7,-14.1,0.008,0.114,0.155,0.371,0.395,1998-99
1194,1194,Eric Piatkowski,LAC,28.0,200.66,97.52228,Nebraska,USA,1994,1,15,49,10.5,2.9,1.1,-9.0,0.035,0.098,0.188,0.555,0.074,1998-99
1282,1282,Keith Closs,LAC,23.0,220.98,96.161504,Central Connecticut State,USA,Undrafted,Undrafted,Undrafted,15,2.1,1.7,0.0,-9.8,0.067,0.29,0.17,0.584,0.0,1998-99
