,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
2210,2210,Michael Dickerson,MEM,27.0,195.58,86.18248,Arizona,USA,1998,1,14,4,10.8,3.0,2.3,-4.8,0.023,0.092,0.193,0.425,0.113,2001-02
2233,2233,Pau Gasol,MEM,21.0,213.36,102.965384,None,Spain,2001,1,3,82,17.6,8.9,2.7,-6.2,0.089,0.182,0.226,0.5660000000000001,0.133,2001-02
2243,2243,Nick Anderson,MEM,34.0,198.12,92.98636,Illinois,USA,1989,1,11,15,4.0,2.2,0.9,-14.8,0.005,0.17,0.198,0.375,0.127,2001-02
2289,2289,Lorenzen Wright,MEM,26.0,210.82,108.86208,Memphis,USA,1996,1,7,43,12.0,9.4,1.0,-6.3,0.1119999999999999,0.258,0.221,0.478,0.063,2001-02
2316,2316,Tony Massenburg,MEM,34.0,205.74,113.398,Maryland,USA,1990,2,43,73,5.5,4.4,0.4,-13.5,0.092,0.211,0.173,0.503,0.036,2001-02
2341,2341,Will Solomon,MEM,23.0,185.42,83.91452,Clemson,USA,2001,2,32,62,5.2,1.1,1.5,-6.8,0.0139999999999999,0.07,0.215,0.442,0.1889999999999999,2001-02
2361,2361,Stromile Swift,MEM,22.0,205.74,102.0582,Louisiana State,USA,2000,1,2,68,11.8,6.3,0.7,-9.1,0.103,0.158,0.2189999999999999,0.539,0.052,2001-02
2371,2371,Rodney Buford,MEM,24.0,195.58,85.728888,Creighton,USA,1999,2,53,63,9.4,4.3,1.1,-9.5,0.033,0.1369999999999999,0.179,0.47,0.068,2001-02
2406,2406,Shane Battier,MEM,23.0,203.2,99.79024,Duke,USA,2001,1,6,78,14.4,5.4,2.8,-5.6,0.064,0.086,0.181,0.518,0.1159999999999999,2001-02
2506,2506,Brevin Knight,MEM,26.0,177.8,77.11064,Stanford,USA,1997,1,16,53,7.0,2.1,5.7,-6.6,0.011,0.0969999999999999,0.198,0.482,0.447,2001-02
2523,2523,Antonis Fotsis,MEM,21.0,208.28,99.336648,None,Greece,2001,2,47,28,3.9,2.2,0.4,-6.1,0.088,0.121,0.19,0.479,0.057,2001-02
2539,2539,Ike Fontaine,MEM,27.0,193.04,95.25432,Washington State,USA,Undrafted,Undrafted,Undrafted,6,1.8,0.8,0.7,-39.0,0.0,0.088,0.124,0.331,0.093,2001-02
2540,2540,Ike Austin,MEM,32.0,208.28,130.63449599999998,Arizona State,USA,1991,2,48,21,3.6,3.4,0.6,-13.4,0.038,0.2239999999999999,0.157,0.405,0.072,2001-02
2567,2567,Grant Long,MEM,36.0,205.74,113.398,Eastern Michigan,USA,1988,2,33,66,6.3,3.5,2.1,-10.1,0.019,0.1169999999999999,0.133,0.475,0.1169999999999999,2001-02
2569,2569,Jason Williams,MEM,26.0,185.42,86.18248,Florida,USA,1998,1,7,65,14.8,3.0,8.0,-7.6,0.011,0.085,0.25,0.466,0.3929999999999999,2001-02
