,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
4,4,Ed Pinckney,MIA,34.0,205.74,108.86208,Villanova,USA,1985,1,10,27,2.4,2.4,0.2,-11.2,0.109,0.179,0.127,0.611,0.04,1996-97
60,60,Ike Austin,MIA,27.0,208.28,122.46984,Arizona State,USA,1991,2,48,82,9.7,5.8,1.2,2.9,0.09,0.218,0.2269999999999999,0.536,0.1,1996-97
65,65,Jamal Mashburn,MIA,24.0,203.2,113.398,Kentucky,USA,1993,1,4,69,11.9,4.3,2.9,1.4,0.037,0.121,0.207,0.487,0.158,1996-97
67,67,James Scott,MIA,25.0,198.12,81.64656,St. John's (NY),USA,Undrafted,Undrafted,Undrafted,8,0.1,0.8,0.4,-14.7,0.036,0.147,0.158,0.0559999999999999,0.136,1996-97
84,84,Gary Grant,MIA,32.0,190.5,83.91452,Michigan,USA,1988,1,15,28,3.9,1.4,1.6,3.2,0.0289999999999999,0.105,0.1939999999999999,0.46,0.215,1996-97
148,148,Alonzo Mourning,MIA,27.0,208.28,118.38751200000002,Georgetown,USA,1992,1,2,66,19.8,9.9,1.6,10.5,0.1,0.2289999999999999,0.275,0.578,0.086,1996-97
163,163,Bruce Bowen,MIA,26.0,200.66,90.7184,Cal State-Fullerton,USA,Undrafted,Undrafted,Undrafted,1,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,1996-97
178,178,Dan Majerle,MIA,31.0,198.12,99.79024,Central Michigan,USA,1988,1,14,36,10.8,4.5,3.2,4.7,0.043,0.111,0.157,0.523,0.158,1996-97
291,291,Voshon Lenard,MIA,24.0,193.04,92.98636,Minnesota,USA,1994,2,46,73,12.3,3.0,2.2,8.2,0.022,0.095,0.187,0.614,0.131,1996-97
297,297,Willie Anderson,MIA,30.0,203.2,90.7184,Georgia,USA,1988,1,10,28,3.0,1.5,1.2,-1.0,0.06,0.118,0.146,0.57,0.191,1996-97
321,321,Tim Hardaway,MIA,30.0,182.88,88.45044,Texas-El Paso,USA,1989,1,14,81,20.3,3.4,8.6,8.9,0.018,0.083,0.264,0.532,0.4039999999999999,1996-97
343,343,Kurt Thomas,MIA,24.0,205.74,106.59412,Texas Christian,USA,1995,1,10,18,6.3,5.9,0.5,-0.8,0.094,0.239,0.183,0.451,0.042,1996-97
373,373,John Crotty,MIA,27.0,187.96,83.91452,Virginia,USA,Undrafted,Undrafted,Undrafted,48,4.8,1.0,2.1,-2.1,0.0289999999999999,0.059,0.161,0.637,0.287,1996-97
382,382,Keith Askins,MIA,29.0,203.2,101.604608,Alabama,USA,Undrafted,Undrafted,Undrafted,78,4.9,3.5,1.0,6.1,0.059,0.127,0.108,0.557,0.068,1996-97
409,409,P.J. Brown,MIA,27.0,210.82,108.86208,Louisiana Tech,USA,1992,2,29,80,9.5,8.4,1.2,7.4,0.11,0.192,0.157,0.505,0.059,1996-97
432,432,Mark Strickland,MIA,26.0,208.28,99.79024,Temple,USA,Undrafted,Undrafted,Undrafted,31,2.0,1.2,0.0,-17.1,0.109,0.152,0.2319999999999999,0.4479999999999999,0.013,1996-97
439,439,Matt Fish,MIA,27.0,210.82,106.59412,North Carolina-Wilmington,USA,1992,2,50,6,0.3,0.8,0.0,-15.1,0.143,0.267,0.265,0.3329999999999999,0.0,1996-97
443,443,Marty Conlon,MIA,30.0,210.82,111.13004,Providence,USA,Undrafted,Undrafted,Undrafted,18,4.9,2.6,0.7,4.4,0.083,0.162,0.191,0.541,0.1009999999999999,1997-98
451,451,Mark Strickland,MIA,27.0,208.28,99.79024,Temple,USA,Undrafted,Undrafted,Undrafted,51,6.8,4.2,0.5,1.3,0.108,0.178,0.1889999999999999,0.5710000000000001,0.052,1997-98
477,477,P.J. Brown,MIA,28.0,210.82,108.86208,Louisiana Tech,USA,1992,2,29,74,9.6,8.6,1.4,8.0,0.121,0.193,0.154,0.522,0.071,1997-98
497,497,Keith Askins,MIA,30.0,203.2,101.604608,Alabama,USA,Undrafted,Undrafted,Undrafted,46,2.4,2.2,0.6,5.5,0.051,0.13,0.108,0.426,0.065,1997-98
562,562,Todd Day,MIA,28.0,198.12,85.275296,Arkansas,USA,1992,1,8,5,6.0,1.2,1.4,9.7,0.062,0.042,0.2239999999999999,0.429,0.132,1997-98
566,566,Tim Hardaway,MIA,31.0,182.88,88.45044,Texas-El Paso,USA,1989,1,14,81,18.9,3.7,8.3,8.1,0.019,0.094,0.254,0.53,0.401,1997-98
571,571,Terry Mills,MIA,30.0,208.28,113.398,Michigan,USA,1990,1,16,50,4.2,3.0,0.8,2.3,0.053,0.175,0.159,0.481,0.0819999999999999,1997-98
602,602,Voshon Lenard,MIA,25.0,193.04,92.98636,Minnesota,USA,1994,2,46,81,12.6,3.6,2.2,7.4,0.033,0.094,0.182,0.547,0.115,1997-98
