,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
26,26,Doug West,MIN,30.0,198.12,99.79024,Villanova,USA,1989,2,38,68,7.8,2.2,1.7,-3.1,0.024,0.07,0.143,0.505,0.092,1996-97
66,66,James Robinson,MIN,26.0,187.96,81.64656,Alabama,USA,1993,1,21,69,8.3,1.6,1.8,-2.7,0.021,0.076,0.207,0.537,0.163,1996-97
109,109,Dean Garrett,MIN,30.0,210.82,113.398,Indiana,USA,1988,2,38,68,8.0,7.3,0.6,1.2,0.108,0.247,0.135,0.603,0.035,1996-97
207,207,Cherokee Parks,MIN,24.0,210.82,108.86208,Duke,USA,1995,1,12,76,3.3,2.6,0.4,-0.6,0.098,0.135,0.123,0.535,0.055,1996-97
208,208,Chris Carr,MIN,23.0,198.12,99.79024,Southern Illinois,USA,1995,2,56,55,6.1,2.1,0.9,3.8,0.043,0.1159999999999999,0.184,0.5579999999999999,0.099,1996-97
225,225,Sam Mitchell,MIN,33.0,200.66,97.52228,Mercer,USA,1985,3,54,82,9.3,4.0,1.0,-4.9,0.064,0.124,0.183,0.523,0.068,1996-97
238,238,Shane Heal,MIN,26.0,182.88,81.64656,None,USA,Undrafted,Undrafted,Undrafted,43,1.7,0.4,0.8,-0.7,0.008,0.075,0.204,0.3779999999999999,0.214,1996-97
257,257,Reggie Jordan,MIN,29.0,193.04,88.45044,New Mexico State,USA,Undrafted,Undrafted,Undrafted,19,2.1,1.4,0.6,4.2,0.103,0.13,0.1369999999999999,0.597,0.174,1996-97
307,307,Stephon Marbury,MIN,20.0,187.96,81.64656,Georgia Tech,USA,1996,1,4,67,15.8,2.7,7.8,-3.1,0.0279999999999999,0.066,0.244,0.519,0.373,1996-97
314,314,Stojko Vrankovic,MIN,33.0,218.44,117.93392,None,USA,Undrafted,Undrafted,Undrafted,53,3.4,3.2,0.3,-7.1,0.089,0.1689999999999999,0.125,0.583,0.0279999999999999,1996-97
319,319,Terry Porter,MIN,34.0,190.5,88.45044,Wisconsin-Stevens Point,USA,1985,1,24,82,6.9,2.1,3.6,2.1,0.024,0.109,0.19,0.544,0.316,1996-97
327,327,Tom Gugliotta,MIN,27.0,208.28,108.86208,North Carolina State,USA,1992,1,6,81,20.6,8.7,4.1,-2.0,0.072,0.193,0.2769999999999999,0.526,0.1939999999999999,1996-97
337,337,Kevin Garnett,MIN,21.0,210.82,99.79024,None,USA,1995,1,5,77,17.0,8.0,3.1,2.8,0.077,0.166,0.215,0.537,0.139,1996-97
489,489,Micheal Williams,MIN,31.0,187.96,79.3786,Baylor,USA,1988,2,48,25,2.6,0.6,1.3,0.4,0.015,0.077,0.209,0.512,0.299,1997-98
544,544,Kevin Garnett,MIN,22.0,210.82,99.79024,None,USA,1995,1,5,82,18.5,9.6,4.2,2.5,0.08,0.1969999999999999,0.225,0.527,0.178,1997-98
558,558,Tom Hammonds,MIN,31.0,205.74,102.0582,Georgia Tech,USA,1989,1,9,57,6.1,4.8,0.6,-2.3,0.1,0.178,0.1369999999999999,0.569,0.048,1997-98
559,559,Tom Gugliotta,MIN,28.0,208.28,108.86208,North Carolina State,USA,1992,1,6,41,20.1,8.7,4.1,3.2,0.078,0.176,0.236,0.561,0.177,1997-98
570,570,Terry Porter,MIN,35.0,190.5,88.45044,Wisconsin-Stevens Point,USA,1985,1,24,82,9.5,2.0,3.3,3.1,0.025,0.085,0.19,0.586,0.236,1997-98
607,607,Sam Mitchell,MIN,34.0,200.66,97.52228,Mercer,USA,1985,3,54,81,12.3,4.8,1.3,1.8,0.059,0.135,0.198,0.539,0.078,1997-98
