,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
2640,2640,Jerome Moiso,NOH,25.0,208.28,105.233344,UCLA,France,2000,1,11,51,4.0,3.5,0.4,1.1,0.107,0.216,0.17,0.542,0.063,2002-03
2653,2653,David Wesley,NOH,32.0,185.42,92.079176,Baylor,USA,Undrafted,Undrafted,Undrafted,73,16.7,2.4,3.4,2.4,0.016,0.06,0.213,0.5329999999999999,0.159,2002-03
2670,2670,Bryce Drew,NOH,28.0,190.5,83.46092800000001,Valparaiso,USA,1998,1,16,13,1.5,1.0,0.8,6.4,0.049,0.122,0.165,0.352,0.22,2002-03
2686,2686,Courtney Alexander,NOH,26.0,195.58,92.98636,Fresno State,USA,2000,1,13,66,7.9,1.8,1.2,-0.3,0.033,0.068,0.214,0.4589999999999999,0.105,2002-03
2742,2742,Baron Davis,NOH,24.0,190.5,101.151016,UCLA,USA,1999,1,3,50,17.1,3.7,6.4,4.7,0.034,0.081,0.243,0.5,0.302,2002-03
2773,2773,George Lynch,NOH,32.0,203.2,106.59412,North Carolina,USA,1993,1,12,81,4.5,4.4,1.3,4.8,0.105,0.166,0.133,0.4639999999999999,0.109,2002-03
2796,2796,Jamal Mashburn,NOH,30.0,203.2,112.037224,Kentucky,USA,1993,1,4,82,21.6,6.1,5.6,2.6,0.023,0.154,0.271,0.507,0.259,2002-03
2799,2799,Jamaal Magloire,NOH,25.0,210.82,117.480328,Kentucky,Canada,2000,1,19,82,10.3,8.8,1.1,2.4,0.123,0.223,0.174,0.541,0.0579999999999999,2002-03
2874,2874,Stacey Augmon,NOH,34.0,203.2,96.615096,Nevada-Las Vegas,USA,1991,1,9,70,3.0,1.7,1.0,5.4,0.035,0.126,0.14,0.474,0.125,2002-03
2894,2894,Robert Pack,NOH,34.0,187.96,86.18248,Southern California,USA,Undrafted,Undrafted,Undrafted,28,5.2,1.8,2.9,-10.1,0.03,0.103,0.2019999999999999,0.473,0.3329999999999999,2002-03
2895,2895,Robert Traylor,NOH,26.0,203.2,128.820128,Michigan,USA,1998,1,6,69,3.9,3.8,0.7,0.3,0.138,0.216,0.17,0.486,0.096,2002-03
2931,2931,Randy Livingston,NOH,28.0,193.04,94.800728,Louisiana State,USA,1996,2,42,2,3.0,0.0,0.5,0.7,0.0,0.0,0.198,0.615,0.2,2002-03
2987,2987,Kirk Haston,NOH,24.0,205.74,109.769264,Indiana,USA,2001,1,16,12,0.5,0.6,0.3,-23.0,0.0,0.159,0.1989999999999999,0.16,0.0969999999999999,2002-03
3001,3001,Kenny Anderson,NOH,32.0,185.42,76.203456,Georgia Tech,USA,1991,1,2,61,6.1,2.2,3.2,-2.3,0.031,0.106,0.195,0.457,0.3,2002-03
3040,3040,P.J. Brown,NOH,33.0,210.82,108.408488,Louisiana Tech,USA,1992,2,29,78,10.7,9.0,1.9,2.4,0.107,0.209,0.139,0.5920000000000001,0.09,2002-03
3093,3093,Maurice Carter,NOH,27.0,195.58,95.25432,Louisiana State,USA,Undrafted,Undrafted,Undrafted,10,4.2,1.1,0.4,1.8,0.022,0.089,0.222,0.479,0.07,2003-04
3107,3107,P.J. Brown,NOH,34.0,210.82,108.408488,Louisiana Tech,USA,1992,2,29,80,10.5,8.6,1.9,1.4,0.0969999999999999,0.186,0.149,0.527,0.0969999999999999,2003-04
3191,3191,Tierre Brown,NOH,25.0,187.96,85.728888,McNeese State,USA,Undrafted,Undrafted,Undrafted,3,2.0,0.3,0.7,-66.7,0.0,0.071,0.3779999999999999,0.521,0.4,2003-04
3198,3198,Steven Smith,NOH,35.0,203.2,100.243832,Michigan State,USA,1991,1,5,71,5.0,1.1,0.8,-3.7,0.033,0.076,0.183,0.5429999999999999,0.109,2003-04
3239,3239,Robert Traylor,NOH,27.0,203.2,128.820128,Michigan,USA,1998,1,6,71,5.1,3.7,0.6,1.4,0.124,0.1989999999999999,0.196,0.527,0.0819999999999999,2003-04
3261,3261,Stacey Augmon,NOH,35.0,203.2,96.615096,Nevada-Las Vegas,USA,1991,1,9,69,5.8,2.5,1.2,-0.9,0.043,0.1,0.158,0.486,0.106,2003-04
3284,3284,Shammond Williams,NOH,29.0,185.42,91.171992,North Carolina,USA,1998,2,34,53,4.8,1.1,2.2,-8.1,0.013,0.079,0.185,0.495,0.2789999999999999,2003-04
3316,3316,David West,NOH,23.0,205.74,108.86208,Xavier,USA,2003,1,18,71,3.8,4.2,0.8,-5.1,0.135,0.242,0.151,0.519,0.12,2003-04
3317,3317,David Wesley,NOH,33.0,185.42,92.079176,Baylor,USA,Undrafted,Undrafted,Undrafted,61,14.0,2.2,2.9,-1.4,0.015,0.062,0.222,0.483,0.159,2003-04
3320,3320,Darrell Armstrong,NOH,36.0,185.42,81.64656,Fayetteville State,USA,Undrafted,Undrafted,Undrafted,79,10.6,2.9,3.9,1.6,0.031,0.086,0.191,0.525,0.244,2003-04
