,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
4007,4007,Desmond Mason,NOK,28.0,195.58,100.697424,Oklahoma State,USA,2000,1,17,70,10.8,4.3,0.9,-6.8,0.035,0.133,0.207,0.46,0.055,2005-06
4050,4050,David West,NOK,25.0,205.74,108.86208,Xavier,USA,2003,1,18,74,17.1,7.4,1.2,-4.3,0.077,0.186,0.2289999999999999,0.5539999999999999,0.07,2005-06
4067,4067,JR Smith,NOK,20.0,198.12,99.79024,None,USA,2004,1,18,55,7.7,2.0,1.1,-7.9,0.023,0.113,0.2189999999999999,0.515,0.102,2005-06
4069,4069,Jackson Vroman,NOK,25.0,208.28,99.79024,Iowa State,USA,2004,2,31,41,1.8,2.1,0.3,2.0,0.099,0.161,0.123,0.428,0.042,2005-06
4095,4095,Arvydas Macijauskas,NOK,26.0,193.04,97.068688,None,Lithuania,Undrafted,Undrafted,Undrafted,19,2.3,0.5,0.3,-10.8,0.0279999999999999,0.065,0.1969999999999999,0.462,0.071,2005-06
4114,4114,Aaron Williams,NOK,34.0,205.74,106.59412,Xavier,USA,Undrafted,Undrafted,Undrafted,48,4.6,3.8,0.4,-3.2,0.096,0.182,0.138,0.551,0.036,2005-06
4142,4142,Brandon Bass,NOK,21.0,203.2,108.86208,Louisiana State,USA,2005,2,33,29,2.3,2.3,0.1,-9.6,0.084,0.217,0.159,0.434,0.02,2005-06
4170,4170,Chris Paul,NOK,21.0,182.88,79.3786,Wake Forest,USA,2005,1,4,78,16.1,5.1,7.8,-3.9,0.025,0.147,0.22,0.546,0.3779999999999999,2005-06
4194,4194,Chris Andersen,NOK,27.0,208.28,103.418976,Blinn,USA,Undrafted,Undrafted,Undrafted,32,5.0,4.8,0.2,-0.8,0.122,0.205,0.139,0.562,0.018,2005-06
4243,4243,Rasual Butler,NOK,27.0,200.66,92.98636,La Salle,USA,2002,2,52,79,8.7,2.9,0.5,-2.1,0.032,0.12,0.187,0.501,0.037,2005-06
4288,4288,Speedy Claxton,NOK,28.0,180.34,77.11064,Hofstra,USA,2000,1,20,71,12.3,2.7,4.8,0.1,0.023,0.091,0.238,0.497,0.306,2005-06
4340,4340,Linton Johnson,NOK,26.0,203.2,102.0582,Tulane,USA,Undrafted,Undrafted,Undrafted,36,4.3,3.4,0.4,-4.2,0.09,0.1969999999999999,0.1669999999999999,0.476,0.042,2005-06
4343,4343,Kirk Snyder,NOK,23.0,198.12,102.0582,Nevada,USA,2004,1,16,68,8.0,2.4,1.5,1.0,0.05,0.098,0.209,0.537,0.13,2005-06
