,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
7631,7631,Austin Rivers,NOP,21.0,193.04,90.7184,Duke,USA,2012,1,10,69,7.7,1.9,2.3,0.4,0.023,0.091,0.215,0.482,0.193,2013-14
7635,7635,Brian Roberts,NOP,28.0,185.42,78.471416,Dayton,USA,Undrafted,Undrafted,Undrafted,72,9.4,1.9,3.3,-4.8,0.012,0.083,0.203,0.529,0.226,2013-14
7691,7691,Darius Miller,NOP,24.0,203.2,102.0582,Kentucky,USA,2012,2,46,45,4.4,1.2,1.0,1.0,0.015,0.068,0.129,0.55,0.09,2013-14
7746,7746,Tyreke Evans,NOP,24.0,198.12,99.79024,Memphis,USA,2009,1,4,72,14.5,4.7,5.0,-4.4,0.043,0.153,0.272,0.504,0.313,2013-14
7776,7776,Anthony Davis,NOP,21.0,208.28,99.79024,Kentucky,USA,2012,1,1,67,20.8,10.0,1.6,-1.7,0.102,0.2339999999999999,0.252,0.5820000000000001,0.078,2013-14
7778,7778,Anthony Morrow,NOP,28.0,195.58,95.25432,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,76,8.4,1.8,0.8,-0.4,0.023,0.092,0.193,0.57,0.069,2013-14
7804,7804,Ryan Anderson,NOP,26.0,208.28,108.86208,California,USA,2008,1,21,22,19.8,6.5,0.8,1.7,0.089,0.111,0.22,0.5720000000000001,0.032,2013-14
7852,7852,Lance Thomas,NOP,26.0,203.2,102.0582,Duke,USA,Undrafted,Undrafted,Undrafted,5,1.2,1.4,0.6,-11.2,0.0559999999999999,0.119,0.145,0.2789999999999999,0.12,2013-14
7864,7864,James Southerland,NOP,24.0,203.2,97.52228,Syracuse,USA,Undrafted,Undrafted,Undrafted,4,3.5,2.0,0.0,8.4,0.0,0.276,0.238,0.441,0.0,2013-14
7874,7874,Jason Smith,NOP,28.0,213.36,108.86208,Colorado State,USA,2007,1,20,31,9.7,5.8,0.9,-2.7,0.065,0.19,0.18,0.495,0.054,2013-14
7900,7900,Luke Babbitt,NOP,25.0,205.74,102.0582,Nevada,USA,2010,1,16,27,6.3,3.3,1.1,7.2,0.048,0.186,0.176,0.525,0.089,2013-14
7910,7910,Josh Childress,NOP,31.0,203.2,95.25432,Stanford,USA,2004,1,6,4,0.0,0.8,0.5,27.1,0.0,0.15,0.02,0.0,0.095,2013-14
7915,7915,Jrue Holiday,NOP,24.0,193.04,92.98636,UCLA,USA,2009,1,17,34,14.3,4.2,7.9,1.5,0.027,0.115,0.226,0.505,0.358,2013-14
7941,7941,Jeff Withey,NOP,24.0,213.36,106.59412,Kansas,USA,2013,2,39,58,3.3,2.6,0.4,2.1,0.085,0.1669999999999999,0.121,0.59,0.057,2013-14
7969,7969,Melvin Ely,NOP,36.0,208.28,117.93392,Fresno State,USA,2002,1,12,2,3.0,0.5,0.0,-13.6,0.0,0.059,0.1169999999999999,0.5,0.0,2013-14
7990,7990,Greg Stiemsma,NOP,28.0,210.82,117.93392,Wisconsin,USA,Undrafted,Undrafted,Undrafted,55,2.9,4.1,0.7,-9.5,0.0819999999999999,0.183,0.083,0.584,0.055,2013-14
7998,7998,Eric Gordon,NOP,25.0,193.04,97.52228,Indiana,USA,2008,1,7,64,15.4,2.6,3.3,-6.2,0.016,0.079,0.2289999999999999,0.54,0.1639999999999999,2013-14
8096,8096,Al-Farouq Aminu,NOP,23.0,205.74,97.52228,Wake Forest,USA,2010,1,8,80,7.2,6.2,1.4,-3.8,0.071,0.213,0.142,0.516,0.083,2013-14
8106,8106,Alexis Ajinca,NOP,26.0,218.44,112.490816,None,France,2008,1,20,56,5.9,4.9,0.7,-5.7,0.12,0.222,0.166,0.589,0.067,2013-14
8125,8125,Jrue Holiday,NOP,25.0,193.04,92.98636,UCLA,USA,2009,1,17,40,14.8,3.4,6.9,3.5,0.0279999999999999,0.09,0.2269999999999999,0.522,0.322,2014-15
8132,8132,Jimmer Fredette,NOP,26.0,187.96,88.45044,Brigham Young,USA,2011,1,10,50,3.6,0.8,1.2,2.7,0.018,0.07,0.1889999999999999,0.479,0.171,2014-15
8146,8146,John Salmons,NOP,35.0,198.12,95.25432,Miami (FL),USA,2002,1,26,21,2.0,1.0,0.6,-12.1,0.015,0.075,0.093,0.422,0.078,2014-15
8166,8166,Luke Babbitt,NOP,26.0,205.74,102.0582,Nevada,USA,2010,1,16,63,4.1,1.8,0.4,-5.1,0.017,0.131,0.125,0.639,0.044,2014-15
8224,8224,Eric Gordon,NOP,26.0,193.04,97.52228,Indiana,USA,2008,1,7,61,13.4,2.6,3.8,1.2,0.016,0.074,0.198,0.544,0.177,2014-15
8256,8256,Jeff Withey,NOP,25.0,213.36,100.697424,Kansas,USA,2013,2,39,37,2.6,1.7,0.3,-5.4,0.1009999999999999,0.1969999999999999,0.175,0.57,0.07,2014-15
8313,8313,Ryan Anderson,NOP,27.0,208.28,108.86208,California,USA,2008,1,21,61,13.7,4.8,0.9,-1.9,0.071,0.128,0.23,0.524,0.054,2014-15
8350,8350,Tyreke Evans,NOP,25.0,198.12,99.79024,Memphis,USA,2009,1,4,79,16.6,5.3,6.6,2.2,0.034,0.142,0.257,0.508,0.316,2014-15
8355,8355,Toney Douglas,NOP,29.0,187.96,88.45044,Florida State,USA,2009,1,29,12,4.3,1.8,2.0,5.0,0.015,0.13,0.187,0.45,0.214,2014-15
8420,8420,Quincy Pondexter,NOP,27.0,200.66,99.79024,Washington,USA,2010,1,26,75,7.2,2.6,1.3,0.1,0.034,0.09,0.139,0.55,0.08,2014-15
8443,8443,Norris Cole,NOP,26.0,187.96,79.3786,Cleveland State,USA,2011,1,28,75,7.6,2.1,3.4,-3.4,0.009,0.093,0.183,0.483,0.2289999999999999,2014-15
8446,8446,Omer Asik,NOP,28.0,213.36,115.66596,None,Turkey,2008,2,36,76,7.3,9.8,0.9,0.4,0.139,0.289,0.14,0.545,0.054,2014-15
8511,8511,Alexis Ajinca,NOP,27.0,218.44,112.490816,None,France,2008,1,20,68,6.5,4.6,0.7,-0.6,0.13,0.248,0.214,0.595,0.084,2014-15
8528,8528,Anthony Davis,NOP,22.0,208.28,99.79024,Kentucky,USA,2012,1,1,68,24.4,10.2,2.2,5.1,0.08,0.24,0.276,0.591,0.109,2014-15
8587,8587,Dante Cunningham,NOP,28.0,203.2,104.32616,Villanova,USA,2009,2,33,66,5.2,3.9,0.8,0.8,0.051,0.127,0.1119999999999999,0.473,0.045,2014-15
8593,8593,Darius Miller,NOP,25.0,203.2,102.0582,Kentucky,USA,2012,2,46,5,0.4,0.2,0.4,-13.1,0.0,0.031,0.089,0.143,0.074,2014-15
