,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
81,81,Herb Williams,NYK,39.0,210.82,117.93392,Ohio State,USA,1981,1,14,21,1.9,1.5,0.2,-10.8,0.0559999999999999,0.141,0.132,0.408,0.045,1996-97
146,146,Allan Houston,NYK,26.0,198.12,90.7184,Tennessee,USA,1993,1,11,81,14.8,3.0,2.2,2.9,0.02,0.086,0.223,0.531,0.1169999999999999,1996-97
195,195,Buck Williams,NYK,37.0,203.2,102.0582,Maryland,USA,1981,1,3,74,6.3,5.4,0.7,6.9,0.135,0.184,0.149,0.574,0.059,1996-97
204,204,Charles Oakley,NYK,33.0,205.74,111.13004,Virginia Union,USA,1985,1,9,80,10.8,9.8,2.8,3.4,0.107,0.218,0.155,0.545,0.127,1996-97
209,209,Chris Childs,NYK,29.0,190.5,88.45044,Boise State,USA,Undrafted,Undrafted,Undrafted,65,9.3,2.9,6.1,5.2,0.013,0.094,0.1689999999999999,0.526,0.309,1996-97
212,212,Chris Jent,NYK,27.0,200.66,99.79024,Ohio State,USA,Undrafted,Undrafted,Undrafted,3,2.0,0.3,0.3,-29.8,0.1,0.0,0.233,0.5,0.125,1996-97
218,218,Charlie Ward,NYK,26.0,187.96,86.18248,Florida State,USA,1994,1,26,79,5.2,2.8,4.1,4.0,0.031,0.1159999999999999,0.14,0.522,0.282,1996-97
230,230,Scott Brooks,NYK,31.0,180.34,74.84268,California-Irvine,USA,Undrafted,Undrafted,Undrafted,38,1.5,0.5,0.8,3.8,0.032,0.0579999999999999,0.1159999999999999,0.625,0.191,1996-97
293,293,Walter McCarty,NYK,23.0,208.28,104.32616,Kentucky,USA,1996,1,19,35,1.8,0.7,0.4,3.2,0.0559999999999999,0.08,0.217,0.431,0.1159999999999999,1996-97
347,347,Larry Johnson,NYK,28.0,200.66,119.294696,Nevada-Las Vegas,USA,1991,1,1,76,12.8,5.2,2.3,4.7,0.08,0.103,0.178,0.57,0.115,1996-97
374,374,John Starks,NYK,31.0,195.58,83.91452,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,77,13.8,2.7,2.8,6.5,0.021,0.094,0.246,0.555,0.1989999999999999,1996-97
376,376,John Wallace,NYK,23.0,205.74,102.0582,Syracuse,USA,1996,1,18,68,4.8,2.3,0.5,2.7,0.08,0.148,0.204,0.5710000000000001,0.081,1996-97
410,410,Patrick Ewing,NYK,34.0,213.36,108.86208,Georgetown,Jamaica,1985,1,1,78,22.4,10.7,2.0,6.4,0.077,0.258,0.297,0.5479999999999999,0.106,1996-97
473,473,Pete Myers,NYK,34.0,198.12,81.64656,Arkansas-Little Rock,USA,1986,6,120,9,1.6,1.1,0.3,6.8,0.143,0.143,0.198,0.5539999999999999,0.158,1997-98
476,476,Patrick Ewing,NYK,35.0,213.36,115.66596,Georgetown,Jamaica,1985,1,1,26,20.8,10.2,1.1,6.6,0.083,0.278,0.303,0.557,0.065,1997-98
508,508,John Starks,NYK,32.0,195.58,83.91452,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,82,12.9,2.8,2.7,2.4,0.026,0.1009999999999999,0.255,0.505,0.188,1997-98
533,533,Larry Johnson,NYK,29.0,200.66,119.294696,Nevada-Las Vegas,USA,1991,1,1,70,15.5,5.7,2.1,2.3,0.087,0.1159999999999999,0.2239999999999999,0.539,0.1119999999999999,1997-98
589,589,Terry Cummings,NYK,37.0,205.74,113.398,DePaul,USA,1982,1,2,74,6.2,3.8,0.6,1.1,0.098,0.195,0.207,0.495,0.07,1997-98
679,679,Charlie Ward,NYK,27.0,187.96,86.18248,Florida State,USA,1994,1,26,82,7.8,3.3,5.7,6.7,0.016,0.122,0.148,0.5670000000000001,0.306,1997-98
684,684,Chris Childs,NYK,30.0,190.5,88.45044,Boise State,USA,Undrafted,Undrafted,Undrafted,68,6.3,2.4,3.9,-0.1,0.022,0.103,0.152,0.524,0.285,1997-98
689,689,Chris Mills,NYK,28.0,200.66,97.975872,Arizona,USA,1993,1,22,80,9.7,5.1,1.7,5.3,0.065,0.157,0.186,0.512,0.104,1997-98
693,693,Chris Dudley,NYK,33.0,210.82,108.86208,Yale,USA,1987,4,75,51,3.1,5.4,0.4,8.2,0.153,0.221,0.124,0.428,0.039,1997-98
731,731,Charles Oakley,NYK,34.0,205.74,111.13004,Virginia Union,USA,1985,1,9,79,9.0,9.2,2.5,2.7,0.094,0.228,0.149,0.475,0.12,1997-98
734,734,Ben Davis,NYK,25.0,205.74,108.86208,Arizona,USA,1996,2,43,7,0.6,0.9,0.0,-29.9,0.316,0.0,0.256,0.2,0.0,1997-98
753,753,Allan Houston,NYK,27.0,198.12,90.7184,Tennessee,USA,1993,1,11,82,18.4,3.3,2.6,2.8,0.018,0.096,0.266,0.53,0.14,1997-98
761,761,Anthony Bowie,NYK,34.0,198.12,90.7184,Oklahoma,USA,1986,3,66,27,2.8,1.0,0.4,-2.2,0.049,0.094,0.151,0.586,0.078,1997-98
768,768,Brooks Thompson,NYK,27.0,193.04,87.543256,Oklahoma State,USA,1994,1,27,30,2.0,0.5,0.9,-8.3,0.0069999999999999,0.098,0.201,0.496,0.245,1997-98
775,775,Buck Williams,NYK,38.0,203.2,102.0582,Maryland,USA,1981,1,3,41,4.9,4.5,0.5,2.7,0.128,0.172,0.138,0.56,0.046,1997-98
879,879,Herb Williams,NYK,40.0,208.28,109.769264,Ohio State,USA,1981,1,14,27,1.4,1.1,0.1,-8.0,0.042,0.16,0.143,0.3979999999999999,0.0409999999999999,1997-98
910,910,Ben Davis,NYK,26.0,205.74,108.86208,Arizona,USA,1996,2,43,8,2.1,1.4,0.4,16.6,0.3,0.154,0.341,0.433,0.25,1998-99
950,950,Charlie Ward,NYK,28.0,187.96,86.18248,Florida State,USA,1994,1,26,50,7.6,3.4,5.4,2.6,0.018,0.108,0.152,0.513,0.289,1998-99
955,955,Chris Childs,NYK,31.0,190.5,88.45044,Boise State,USA,Undrafted,Undrafted,Undrafted,48,6.8,2.8,4.0,1.6,0.017,0.102,0.145,0.544,0.267,1998-99
957,957,Chris Dudley,NYK,34.0,210.82,117.93392,Yale,USA,1987,4,75,46,2.5,4.2,0.2,7.5,0.145,0.198,0.107,0.4539999999999999,0.017,1998-99
1018,1018,Allan Houston,NYK,28.0,198.12,90.7184,Tennessee,USA,1993,1,11,50,16.3,3.0,2.7,1.8,0.013,0.08,0.241,0.515,0.152,1998-99
1061,1061,David Wingate,NYK,35.0,195.58,84.821704,Georgetown,USA,1986,2,44,20,0.7,0.4,0.3,14.4,0.038,0.072,0.11,0.4379999999999999,0.086,1998-99
1103,1103,Kurt Thomas,NYK,26.0,205.74,104.32616,Texas Christian,USA,1995,1,10,50,8.1,5.7,1.1,-0.6,0.087,0.1989999999999999,0.2,0.489,0.091,1998-99
1108,1108,Larry Johnson,NYK,30.0,200.66,106.59412,Nevada-Las Vegas,USA,1991,1,1,49,12.0,5.8,2.4,4.0,0.07,0.131,0.182,0.5539999999999999,0.135,1998-99
1120,1120,Marcus Camby,NYK,25.0,210.82,102.0582,Massachusetts,USA,1996,1,2,46,7.2,5.5,0.3,0.6,0.136,0.19,0.181,0.537,0.025,1998-99
1122,1122,Latrell Sprewell,NYK,28.0,195.58,86.18248,Alabama,USA,1992,1,24,37,16.4,4.2,2.5,-1.5,0.04,0.11,0.263,0.503,0.148,1998-99
1155,1155,Rick Brunson,NYK,27.0,193.04,86.18248,Temple,USA,Undrafted,Undrafted,Undrafted,17,1.0,0.6,1.1,13.5,0.034,0.111,0.2,0.294,0.3329999999999999,1998-99
1168,1168,Patrick Ewing,NYK,36.0,213.36,115.66596,Georgetown,Jamaica,1985,1,1,38,17.3,9.9,1.1,1.8,0.068,0.246,0.28,0.491,0.068,1998-99
1291,1291,Herb Williams,NYK,41.0,210.82,117.93392,Ohio State,USA,1981,1,14,6,1.7,1.0,0.0,0.9,0.088,0.103,0.138,0.563,0.0,1998-99
1348,1348,David Wingate,NYK,36.0,195.58,83.91452,Georgetown,USA,1986,2,44,7,0.3,0.3,0.4,-29.0,0.033,0.031,0.145,0.111,0.188,1999-00
1349,1349,DeMarco Johnson,NYK,24.0,205.74,111.13004,North Carolina-Charlotte,USA,1998,2,38,5,1.2,1.4,0.0,-0.3,0.0969999999999999,0.105,0.154,0.3329999999999999,0.0,1999-00
1463,1463,Allan Houston,NYK,29.0,198.12,90.7184,Tennessee,USA,1993,1,11,82,19.7,3.3,2.7,2.6,0.015,0.085,0.24,0.569,0.13,1999-00
1470,1470,Andrew Lang,NYK,34.0,210.82,124.7378,Arkansas,USA,1988,2,28,19,3.1,3.2,0.2,0.7,0.076,0.198,0.14,0.44,0.021,1999-00
