,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
28,28,Dell Demps,ORL,27.0,190.5,92.98636,Pacific,USA,Undrafted,Undrafted,Undrafted,2,1.0,0.0,0.0,-53.7,0.0,0.0,0.185,0.258,0.0,1996-97
29,29,Dennis Scott,ORL,28.0,203.2,106.59412,Georgia Tech,USA,1990,1,4,66,12.5,3.1,2.1,1.9,0.021,0.092,0.188,0.519,0.106,1996-97
32,32,Derek Strong,ORL,29.0,205.74,108.86208,Xavier,USA,1990,2,47,82,8.5,6.3,0.9,-0.7,0.1,0.208,0.182,0.513,0.064,1996-97
79,79,Horace Grant,ORL,31.0,208.28,111.13004,Clemson,USA,1987,1,10,67,12.6,9.0,2.4,1.1,0.094,0.19,0.161,0.546,0.1119999999999999,1996-97
91,91,Gerald Wilkins,ORL,33.0,198.12,102.0582,Tennessee-Chattanooga,USA,1985,2,47,80,10.6,2.2,2.2,-5.8,0.031,0.064,0.203,0.503,0.143,1996-97
131,131,Brian Evans,ORL,23.0,203.2,99.79024,Indiana,USA,1996,1,27,14,1.4,0.6,0.5,-12.5,0.017,0.121,0.168,0.455,0.1939999999999999,1996-97
133,133,Brian Shaw,ORL,31.0,198.12,90.7184,California-Santa Barbara,USA,1988,1,24,77,7.2,2.5,4.1,-10.5,0.0289999999999999,0.095,0.184,0.478,0.297,1996-97
153,153,Anfernee Hardaway,ORL,25.0,200.66,97.52228,Memphis,USA,1993,1,3,59,20.5,4.5,5.6,4.6,0.0409999999999999,0.096,0.254,0.5539999999999999,0.27,1996-97
162,162,Amal McCaskill,ORL,23.0,210.82,106.59412,Marquette,USA,1996,2,49,17,1.6,1.3,0.4,-15.7,0.038,0.2,0.206,0.376,0.146,1996-97
182,182,Darrell Armstrong,ORL,29.0,185.42,81.64656,Fayetteville State,USA,Undrafted,Undrafted,Undrafted,67,6.1,1.1,2.6,0.3,0.039,0.05,0.222,0.525,0.308,1996-97
187,187,David Vaughn,ORL,24.0,205.74,108.86208,Memphis,USA,1995,1,25,35,2.3,2.7,0.2,-7.5,0.128,0.216,0.172,0.475,0.045,1996-97
190,190,Dan Schayes,ORL,38.0,210.82,117.93392,Syracuse,USA,1981,1,13,45,3.0,2.8,0.3,-1.5,0.091,0.183,0.15,0.465,0.045,1996-97
261,261,Rony Seikaly,ORL,32.0,210.82,114.758776,Syracuse,USA,1988,1,9,74,17.3,9.5,1.2,-1.7,0.122,0.1969999999999999,0.238,0.5670000000000001,0.064,1996-97
403,403,Nick Anderson,ORL,29.0,198.12,103.418976,Illinois,USA,1989,1,11,63,12.0,4.8,2.9,3.6,0.035,0.128,0.18,0.494,0.1369999999999999,1996-97
464,464,Mark Price,ORL,34.0,182.88,81.64656,Georgia Tech,USA,1986,2,25,63,9.5,2.0,4.7,-3.1,0.019,0.086,0.23,0.518,0.363,1997-98
482,482,Nick Anderson,ORL,30.0,198.12,103.418976,Illinois,USA,1989,1,11,58,15.3,5.1,2.1,0.1,0.066,0.1369999999999999,0.249,0.529,0.135,1997-98
503,503,Johnny Taylor,ORL,24.0,205.74,99.79024,Tennessee-Chattanooga,USA,1997,1,17,12,3.2,1.1,0.1,4.8,0.043,0.127,0.215,0.431,0.0139999999999999,1997-98
542,542,Kevin Ollie,ORL,25.0,193.04,88.45044,Connecticut,USA,Undrafted,Undrafted,Undrafted,35,3.5,1.1,1.9,-1.9,0.023,0.078,0.186,0.477,0.263,1997-98
545,545,Kevin Edwards,ORL,32.0,190.5,86.18248,DePaul,USA,1988,1,20,39,3.8,1.4,1.0,-2.7,0.04,0.087,0.181,0.416,0.125,1997-98
642,642,Spud Webb,ORL,34.0,167.64,60.327736,North Carolina State,USA,1985,4,87,4,3.0,0.8,1.3,-24.6,0.067,0.038,0.252,0.466,0.294,1997-98
685,685,Dan Schayes,ORL,39.0,210.82,117.93392,Syracuse,USA,1981,1,13,74,5.5,3.3,0.6,-0.6,0.089,0.146,0.178,0.479,0.059,1997-98
697,697,Derek Harper,ORL,36.0,193.04,93.439952,Illinois,USA,1983,1,11,66,8.6,1.6,3.5,-0.4,0.015,0.055,0.179,0.491,0.233,1997-98
698,698,Derek Strong,ORL,30.0,205.74,108.86208,Xavier,USA,1990,2,47,58,12.7,7.4,0.9,1.0,0.109,0.1969999999999999,0.226,0.498,0.0559999999999999,1997-98
716,716,Darrell Armstrong,ORL,30.0,185.42,81.64656,Fayetteville State,USA,Undrafted,Undrafted,Undrafted,48,9.2,3.3,4.9,-2.7,0.061,0.096,0.203,0.509,0.346,1997-98
719,719,David Benoit,ORL,30.0,203.2,99.79024,Alabama,USA,Undrafted,Undrafted,Undrafted,77,5.5,2.6,0.3,-0.6,0.0559999999999999,0.153,0.191,0.477,0.037,1997-98
760,760,Anfernee Hardaway,ORL,26.0,200.66,97.52228,Memphis,USA,1993,1,3,19,16.4,4.0,3.6,-5.3,0.015,0.123,0.273,0.479,0.216,1997-98
789,789,Bo Outlaw,ORL,27.0,203.2,95.25432,Houston,USA,Undrafted,Undrafted,Undrafted,82,9.5,7.8,2.6,-0.4,0.1009999999999999,0.154,0.135,0.575,0.122,1997-98
815,815,Gerald Wilkins,ORL,34.0,198.12,102.0582,Tennessee-Chattanooga,USA,1985,2,47,72,5.3,1.3,1.1,-7.6,0.0139999999999999,0.075,0.206,0.3979999999999999,0.1119999999999999,1997-98
853,853,Jason Lawson,ORL,23.0,210.82,108.86208,Villanova,USA,1997,2,41,17,1.5,1.6,0.3,7.4,0.104,0.345,0.111,0.67,0.083,1997-98
874,874,Horace Grant,ORL,32.0,208.28,111.13004,Clemson,USA,1987,1,10,76,12.1,8.1,2.3,-1.5,0.093,0.166,0.1689999999999999,0.488,0.11,1997-98
909,909,B.J. Armstrong,ORL,31.0,187.96,83.91452,Iowa,USA,1989,1,18,32,3.3,1.2,1.9,-5.2,0.0069999999999999,0.111,0.16,0.54,0.305,1998-99
919,919,Bo Outlaw,ORL,28.0,203.2,95.25432,Houston,USA,Undrafted,Undrafted,Undrafted,31,6.5,5.4,1.8,-0.5,0.073,0.155,0.136,0.535,0.111,1998-99
937,937,Dan Schayes,ORL,40.0,210.82,117.93392,Syracuse,USA,1981,1,13,19,1.5,0.7,0.2,7.2,0.026,0.098,0.131,0.431,0.044,1998-99
942,942,Darrell Armstrong,ORL,31.0,185.42,81.64656,Fayetteville State,USA,Undrafted,Undrafted,Undrafted,50,13.8,3.6,6.7,4.7,0.04,0.1009999999999999,0.225,0.575,0.401,1998-99
1027,1027,Anfernee Hardaway,ORL,27.0,200.66,97.52228,Memphis,USA,1993,1,3,50,15.8,5.7,5.3,1.9,0.044,0.127,0.2239999999999999,0.488,0.248,1998-99
1073,1073,Matt Harpring,ORL,23.0,200.66,104.779752,Georgia Tech,USA,1998,1,15,50,8.2,4.3,0.9,-0.3,0.09,0.14,0.184,0.5329999999999999,0.072,1998-99
1078,1078,Michael Doleac,ORL,22.0,210.82,118.841104,Utah,USA,1998,1,12,49,6.2,3.0,0.4,5.5,0.0969999999999999,0.13,0.186,0.503,0.044,1998-99
1087,1087,Miles Simon,ORL,23.0,190.5,91.625584,Arizona,USA,1998,2,42,5,0.4,0.4,0.0,-29.2,0.071,0.059,0.208,0.2,0.0,1998-99
1097,1097,Kevin Ollie,ORL,26.0,193.04,88.45044,Connecticut,USA,Undrafted,Undrafted,Undrafted,8,1.6,0.9,0.4,-8.6,0.0,0.111,0.12,0.381,0.065,1998-99
1160,1160,Nick Anderson,ORL,31.0,198.12,103.418976,Illinois,USA,1989,1,11,47,14.9,5.9,1.9,2.1,0.037,0.162,0.23,0.493,0.107,1998-99
1212,1212,Gerald Wilkins,ORL,35.0,198.12,83.91452,Tennessee-Chattanooga,USA,1985,2,47,3,0.7,0.3,0.3,-2.0,0.0,0.053,0.192,0.1009999999999999,0.067,1998-99
