,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
38,38,Dexter Boney,PHX,27.0,193.04,83.91452,Nevada-Las Vegas,USA,Undrafted,Undrafted,Undrafted,8,2.4,0.8,0.0,-19.6,0.0579999999999999,0.071,0.231,0.422,0.0,1996-97
56,56,Horacio Llamas,PHX,23.0,210.82,129.27372,Grand Canyon,USA,Undrafted,Undrafted,Undrafted,20,1.7,0.9,0.2,11.5,0.048,0.1369999999999999,0.19,0.539,0.0559999999999999,1996-97
57,57,Hot Rod Williams,PHX,34.0,210.82,111.13004,Tulane,USA,1985,2,45,68,8.0,8.3,1.5,4.3,0.099,0.1989999999999999,0.122,0.5379999999999999,0.067,1996-97
72,72,Jason Kidd,PHX,24.0,193.04,94.347136,California,USA,1994,1,2,55,10.9,4.5,9.0,2.4,0.039,0.106,0.17,0.498,0.37,1996-97
114,114,Ben Davis,PHX,24.0,205.74,108.86208,Arizona,USA,1996,2,43,20,1.5,1.4,0.0,-0.4,0.132,0.192,0.156,0.417,0.0,1996-97
181,181,Danny Manning,PHX,31.0,208.28,106.140528,Kansas,USA,1988,1,1,77,13.5,6.1,2.2,3.1,0.079,0.184,0.2269999999999999,0.574,0.136,1996-97
201,201,Cedric Ceballos,PHX,27.0,200.66,102.0582,Cal State-Fullerton,USA,1990,2,48,50,14.6,6.6,1.3,4.1,0.088,0.181,0.246,0.522,0.073,1996-97
262,262,Rex Chapman,PHX,29.0,193.04,88.45044,Kentucky,USA,1988,1,8,65,13.8,2.8,2.8,2.7,0.016,0.099,0.223,0.551,0.159,1996-97
294,294,Wayman Tisdale,PHX,33.0,205.74,117.93392,Oklahoma,USA,1985,1,2,53,6.5,2.3,0.4,-3.5,0.052,0.127,0.253,0.441,0.045,1996-97
295,295,Wesley Person,PHX,26.0,198.12,88.45044,Auburn,USA,1994,1,23,80,13.5,3.7,1.5,0.7,0.033,0.114,0.195,0.5670000000000001,0.084,1996-97
310,310,Steve Nash,PHX,23.0,190.5,88.45044,Santa Clara,Canada,1996,1,15,65,3.3,1.0,2.1,-8.5,0.026,0.083,0.17,0.539,0.301,1996-97
317,317,Tony Dumas,PHX,24.0,198.12,86.18248,Missouri-Kansas City,USA,1994,1,19,24,3.6,0.7,1.0,-4.1,0.012,0.055,0.1989999999999999,0.402,0.134,1996-97
338,338,Kevin Johnson,PHX,31.0,185.42,86.18248,California,USA,1987,1,7,70,20.1,3.6,9.3,2.9,0.024,0.085,0.226,0.631,0.3879999999999999,1996-97
372,372,Loren Meyer,PHX,24.0,208.28,117.93392,Iowa State,USA,1995,1,24,54,4.9,2.7,0.4,-6.7,0.085,0.14,0.215,0.489,0.046,1996-97
394,394,Mike Brown,PHX,33.0,208.28,117.93392,George Washington,USA,1985,3,69,6,2.7,4.2,0.8,1.7,0.141,0.271,0.109,0.488,0.089,1996-97
427,427,Mark Bryant,PHX,32.0,205.74,111.13004,Seton Hall,USA,1988,1,21,41,9.3,5.2,1.1,3.3,0.084,0.186,0.1669999999999999,0.589,0.072,1996-97
441,441,Marko Milic,PHX,21.0,198.12,106.59412,None,Slovenia,1997,2,33,33,2.8,0.8,0.4,7.4,0.076,0.099,0.245,0.644,0.113,1997-98
457,457,Mark Bryant,PHX,33.0,205.74,111.13004,Seton Hall,USA,1988,1,21,70,4.2,3.5,0.7,6.5,0.106,0.16,0.134,0.545,0.059,1997-98
543,543,Kevin Johnson,PHX,32.0,185.42,86.18248,California,USA,1987,1,7,50,9.5,3.3,4.9,6.8,0.034,0.114,0.1889999999999999,0.555,0.288,1997-98
626,626,Rex Chapman,PHX,30.0,193.04,88.45044,Kentucky,USA,1988,1,8,68,15.9,2.5,3.0,3.2,0.015,0.072,0.2289999999999999,0.521,0.149,1997-98
635,635,Steve Nash,PHX,24.0,190.5,88.45044,Santa Clara,Canada,1996,1,15,76,9.1,2.1,3.4,8.1,0.023,0.089,0.195,0.556,0.249,1997-98
672,672,Clifford Robinson,PHX,31.0,208.28,102.0582,Connecticut,USA,1989,2,36,80,14.2,5.1,2.1,5.2,0.079,0.129,0.23,0.5379999999999999,0.1169999999999999,1997-98
714,714,Dennis Scott,PHX,29.0,203.2,103.872568,Georgia Tech,USA,1990,1,4,81,11.0,3.0,1.9,-4.7,0.023,0.1,0.1989999999999999,0.502,0.115,1997-98
715,715,Danny Manning,PHX,32.0,208.28,106.140528,Kansas,USA,1988,1,1,70,13.5,5.6,2.0,8.0,0.073,0.178,0.241,0.5539999999999999,0.138,1997-98
740,740,Antonio McDyess,PHX,23.0,205.74,99.79024,Alabama,USA,1995,1,2,81,15.1,7.6,1.3,4.1,0.102,0.188,0.2269999999999999,0.5710000000000001,0.076,1997-98
812,812,George McCloud,PHX,31.0,203.2,102.0582,Florida State,USA,1989,1,7,63,7.2,3.5,1.3,3.5,0.042,0.1669999999999999,0.1889999999999999,0.507,0.105,1997-98
852,852,Jason Kidd,PHX,25.0,193.04,96.161504,California,USA,1994,1,2,82,11.6,6.2,9.1,5.1,0.0409999999999999,0.149,0.176,0.502,0.356,1997-98
875,875,Horacio Llamas,PHX,24.0,210.82,129.27372,Grand Canyon,USA,Undrafted,Undrafted,Undrafted,8,3.0,2.3,0.1,20.3,0.108,0.226,0.331,0.472,0.034,1997-98
876,876,Hot Rod Williams,PHX,35.0,210.82,111.13004,Tulane,USA,1985,2,45,71,3.6,4.4,0.7,8.7,0.096,0.163,0.096,0.525,0.053,1997-98
941,941,Danny Manning,PHX,33.0,208.28,110.676448,Kansas,USA,1988,1,1,50,9.1,4.4,2.3,3.9,0.064,0.16,0.2,0.52,0.168,1998-99
945,945,Clifford Robinson,PHX,32.0,208.28,102.0582,Connecticut,USA,1989,2,36,50,16.4,4.5,2.6,6.2,0.045,0.108,0.218,0.5589999999999999,0.128,1998-99
961,961,Chris Morris,PHX,33.0,203.2,103.418976,Auburn,USA,1988,1,4,44,4.2,2.8,0.5,4.0,0.111,0.15,0.161,0.544,0.073,1998-99
982,982,Toby Bailey,PHX,23.0,198.12,96.615096,UCLA,USA,1998,2,45,27,2.9,2.0,0.5,-7.3,0.1009999999999999,0.146,0.185,0.425,0.083,1998-99
989,989,Tom Gugliotta,PHX,29.0,208.28,108.86208,North Carolina State,USA,1992,1,6,43,17.0,8.9,2.8,4.9,0.095,0.188,0.222,0.545,0.134,1998-99
1021,1021,Alvin Sims,PHX,24.0,193.04,106.59412,Louisville,USA,Undrafted,Undrafted,Undrafted,4,2.8,1.0,1.3,-30.0,0.143,0.045,0.272,0.451,0.3329999999999999,1998-99
1051,1051,Shawn Respert,PHX,27.0,185.42,88.45044,Michigan State,USA,1995,1,8,12,3.1,1.1,0.7,-1.4,0.023,0.1159999999999999,0.218,0.4579999999999999,0.17,1998-99
1068,1068,Marko Milic,PHX,22.0,198.12,106.59412,None,Slovenia,1997,2,33,11,1.5,0.5,0.2,-19.5,0.061,0.044,0.2189999999999999,0.4,0.074,1998-99
1116,1116,Luc Longley,PHX,30.0,218.44,117.93392,New Mexico,USA,1991,1,7,39,8.7,5.7,1.2,4.8,0.072,0.2019999999999999,0.188,0.524,0.0819999999999999,1998-99
1157,1157,Rex Chapman,PHX,31.0,193.04,88.45044,Kentucky,USA,1988,1,8,38,12.1,2.7,2.9,4.3,0.011,0.091,0.215,0.46,0.149,1998-99
1167,1167,Pat Garrity,PHX,22.0,205.74,107.954896,Notre Dame,USA,1998,1,19,39,5.6,1.9,0.5,3.2,0.0579999999999999,0.107,0.185,0.557,0.055,1998-99
1179,1179,Randy Livingston,PHX,24.0,193.04,94.800728,Louisiana State,USA,1996,2,42,1,12.0,2.0,3.0,16.8,0.0,0.095,0.22,0.6759999999999999,0.25,1998-99
1210,1210,George McCloud,PHX,32.0,203.2,102.0582,Florida State,USA,1989,1,7,48,8.9,3.4,1.6,1.4,0.032,0.125,0.153,0.591,0.1009999999999999,1998-99
1211,1211,Gerald Brown,PHX,23.0,193.04,95.25432,Pepperdine,USA,Undrafted,Undrafted,Undrafted,33,2.4,0.7,0.9,-12.1,0.022,0.078,0.226,0.42,0.23,1998-99
1262,1262,Jimmy Oliver,PHX,29.0,195.58,92.98636,Purdue,USA,1991,2,39,2,1.5,0.0,0.0,2.1,0.0,0.0,0.131,0.5,0.0,1998-99
1264,1264,Joe Kleine,PHX,37.0,213.36,122.923432,Arkansas,USA,1985,1,6,31,2.2,2.2,0.4,-7.6,0.084,0.135,0.113,0.429,0.05,1998-99
1311,1311,Jason Kidd,PHX,26.0,193.04,96.161504,California,USA,1994,1,2,50,16.9,6.8,10.8,6.5,0.048,0.146,0.213,0.527,0.431,1998-99
1370,1370,Don MacLean,PHX,30.0,208.28,106.59412,UCLA,USA,1992,1,19,16,2.6,1.4,0.5,-8.5,0.043,0.138,0.179,0.407,0.1,1999-00
1380,1380,Jason Kidd,PHX,27.0,193.04,96.161504,California,USA,1994,1,2,67,14.3,7.2,10.1,5.8,0.0409999999999999,0.1639999999999999,0.1989999999999999,0.498,0.395,1999-00
1438,1438,Ben Davis,PHX,27.0,205.74,111.13004,Arizona,USA,1996,2,43,5,0.8,1.8,0.4,-30.9,0.125,0.375,0.188,0.3329999999999999,0.1669999999999999,1999-00
1471,1471,Anfernee Hardaway,PHX,28.0,200.66,97.52228,Memphis,USA,1993,1,3,60,16.9,5.8,5.3,8.8,0.047,0.121,0.212,0.5489999999999999,0.23,1999-00
1491,1491,Clifford Robinson,PHX,33.0,208.28,102.0582,Connecticut,USA,1989,2,36,80,18.5,4.5,2.8,4.6,0.042,0.096,0.2289999999999999,0.564,0.134,1999-00
1494,1494,Corie Blount,PHX,31.0,208.28,109.769264,Cincinnati,USA,1993,1,25,38,2.8,3.0,0.3,5.8,0.129,0.161,0.129,0.517,0.032,1999-00
1558,1558,Shawn Marion,PHX,22.0,200.66,97.52228,Nevada-Las Vegas,USA,1999,1,9,51,10.2,6.5,1.4,5.5,0.094,0.195,0.1939999999999999,0.511,0.089,1999-00
