,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
13,13,Ennis Whatley,POR,34.0,190.5,80.28578399999998,Alabama,USA,1983,1,13,3,1.3,1.0,1.0,-57.4,0.0,0.15,0.115,0.5,0.375,1996-97
49,49,Dontonio Wingfield,POR,23.0,203.2,116.119552,Cincinnati,USA,1994,2,37,47,4.5,2.9,1.0,1.3,0.132,0.144,0.204,0.501,0.14,1996-97
61,61,Isaiah Rider,POR,26.0,195.58,97.52228,Nevada-Las Vegas,USA,1993,1,5,76,16.1,4.0,2.6,3.4,0.045,0.0969999999999999,0.2289999999999999,0.557,0.129,1996-97
78,78,Jermaine O'Neal,POR,18.0,210.82,102.511792,None,USA,1996,1,17,45,4.1,2.8,0.2,1.3,0.099,0.198,0.1989999999999999,0.494,0.03,1996-97
86,86,Gary Trent,POR,22.0,203.2,113.398,Ohio,USA,1995,1,11,82,10.8,5.2,1.1,2.5,0.1009999999999999,0.1669999999999999,0.212,0.569,0.077,1996-97
134,134,Arvydas Sabonis,POR,32.0,220.98,132.448864,None,Lithuania,1986,1,24,69,13.4,7.9,2.1,8.1,0.0819999999999999,0.282,0.24,0.5920000000000001,0.136,1996-97
145,145,Aleksandar Djordjevic,POR,29.0,187.96,89.811216,None,USA,Undrafted,Undrafted,Undrafted,8,3.1,0.6,0.6,4.8,0.021,0.07,0.179,0.687,0.135,1996-97
166,166,Clifford Robinson,POR,30.0,208.28,102.0582,Connecticut,USA,1989,2,36,81,15.1,4.0,3.2,4.4,0.036,0.088,0.1989999999999999,0.519,0.1369999999999999,1996-97
210,210,Chris Dudley,POR,32.0,210.82,108.86208,Yale,USA,1987,4,75,81,3.9,7.3,0.5,-0.2,0.134,0.249,0.107,0.449,0.036,1996-97
222,222,Rumeal Robinson,POR,30.0,187.96,88.45044,Michigan,USA,1990,1,10,54,3.3,0.9,1.4,4.5,0.0139999999999999,0.086,0.1989999999999999,0.491,0.233,1996-97
233,233,Ruben Nembhard,POR,25.0,190.5,94.347136,Weber State,USA,Undrafted,Undrafted,Undrafted,10,4.0,0.8,1.7,-0.3,0.033,0.054,0.1989999999999999,0.483,0.25,1996-97
253,253,Rasheed Wallace,POR,22.0,210.82,102.0582,North Carolina,USA,1995,1,4,62,15.1,6.8,1.2,7.8,0.079,0.181,0.218,0.588,0.067,1996-97
276,276,Stacey Augmon,POR,28.0,203.2,92.98636,Nevada-Las Vegas,USA,1991,1,9,60,4.7,2.3,0.9,6.0,0.06,0.109,0.158,0.531,0.093,1996-97
359,359,Kenny Anderson,POR,26.0,185.42,76.203456,Georgia Tech,USA,1991,1,2,82,17.5,4.4,7.1,4.8,0.036,0.102,0.222,0.54,0.31,1996-97
396,396,Mitchell Butler,POR,26.0,195.58,95.25432,UCLA,USA,Undrafted,Undrafted,Undrafted,49,3.0,1.1,0.6,4.6,0.046,0.074,0.168,0.503,0.114,1996-97
428,428,Marcus Brown,POR,23.0,190.5,83.91452,Murray State,USA,1996,2,46,21,3.9,0.7,1.0,4.0,0.027,0.07,0.221,0.523,0.1689999999999999,1996-97
509,509,John Crotty,POR,28.0,185.42,83.91452,Virginia,USA,Undrafted,Undrafted,Undrafted,26,3.7,1.2,2.4,-5.5,0.012,0.088,0.171,0.457,0.276,1997-98
518,518,Rasheed Wallace,POR,23.0,210.82,102.0582,North Carolina,USA,1995,1,4,77,14.6,6.2,2.5,4.5,0.057,0.134,0.184,0.564,0.114,1997-98
521,521,Kelvin Cato,POR,23.0,210.82,115.66596,Iowa State,USA,1997,1,15,74,3.8,3.4,0.3,-2.3,0.103,0.173,0.147,0.496,0.038,1997-98
590,590,Walt Williams,POR,28.0,203.2,104.32616,Maryland,USA,1992,1,7,59,10.3,3.4,2.1,-7.5,0.038,0.124,0.209,0.508,0.149,1997-98
594,594,Vincent Askew,POR,32.0,198.12,95.25432,Memphis,USA,1987,2,39,30,2.2,2.3,1.3,0.0,0.0579999999999999,0.118,0.106,0.4639999999999999,0.134,1997-98
624,624,Rick Brunson,POR,26.0,193.04,88.45044,Temple,USA,Undrafted,Undrafted,Undrafted,38,4.3,1.5,2.6,-1.4,0.0279999999999999,0.076,0.161,0.481,0.253,1997-98
641,641,Stacey Augmon,POR,29.0,203.2,92.98636,Nevada-Las Vegas,USA,1991,1,9,71,5.7,3.3,1.2,0.2,0.086,0.1009999999999999,0.1639999999999999,0.457,0.099,1997-98
654,654,Sean Higgins,POR,29.0,205.74,92.98636,Michigan,USA,1990,2,54,2,0.0,0.0,0.0,-49.8,0.0,0.0,0.181,0.0,0.0,1997-98
661,661,Jermaine O'Neal,POR,19.0,210.82,102.511792,None,USA,1996,1,17,60,4.5,3.4,0.3,-0.1,0.1169999999999999,0.165,0.181,0.498,0.037,1997-98
663,663,Damon Stoudamire,POR,24.0,177.8,77.56423199999999,Arizona,USA,1995,1,7,71,17.2,4.2,8.2,-4.6,0.035,0.089,0.226,0.502,0.34,1997-98
709,709,Dontonio Wingfield,POR,24.0,203.2,116.119552,Cincinnati,USA,1994,2,37,3,0.3,1.3,0.0,-35.3,0.143,0.222,0.2339999999999999,0.129,0.0,1997-98
738,738,Arvydas Sabonis,POR,33.0,220.98,132.448864,None,Lithuania,1986,1,24,73,16.0,10.0,3.0,4.6,0.079,0.284,0.231,0.581,0.161,1997-98
757,757,Alton Lister,POR,39.0,213.36,111.13004,Arizona State,USA,1981,1,21,7,0.9,1.6,0.1,-8.6,0.054,0.22,0.105,0.375,0.04,1997-98
778,778,Carlos Rogers,POR,27.0,210.82,99.79024,Tennessee State,USA,1994,1,11,21,5.3,3.2,0.9,-12.0,0.092,0.106,0.14,0.5329999999999999,0.08,1997-98
792,792,Brian Grant,POR,26.0,205.74,115.212368,Xavier,USA,1994,1,8,61,12.1,9.1,1.4,2.7,0.123,0.213,0.181,0.561,0.077,1997-98
