,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
25,25,Duane Causwell,SAC,29.0,213.36,108.86208,Temple,USA,1990,1,18,46,2.6,2.8,0.4,-11.8,0.1119999999999999,0.143,0.111,0.535,0.0559999999999999,1996-97
75,75,Jeff Grayer,SAC,31.0,195.58,95.25432,Iowa State,USA,1988,1,13,25,3.6,1.5,1.0,0.7,0.077,0.067,0.154,0.496,0.124,1996-97
118,118,Billy Owens,SAC,28.0,205.74,102.0582,Syracuse,USA,1991,1,3,66,11.0,5.9,2.8,-3.0,0.077,0.152,0.1889999999999999,0.514,0.154,1996-97
124,124,Bobby Hurley,SAC,26.0,182.88,74.84268,Duke,USA,1993,1,7,49,2.9,0.8,3.0,-2.6,0.015,0.05,0.14,0.482,0.336,1996-97
132,132,Brian Grant,SAC,25.0,205.74,115.212368,Xavier,USA,1994,1,8,24,10.5,5.9,1.2,-7.7,0.098,0.185,0.213,0.511,0.078,1996-97
170,170,Corliss Williamson,SAC,23.0,200.66,111.13004,Arkansas,USA,1995,1,13,79,11.6,4.1,1.6,-4.2,0.0819999999999999,0.1119999999999999,0.23,0.535,0.108,1996-97
284,284,Tyus Edney,SAC,24.0,177.8,68.945984,UCLA,USA,1995,2,47,70,6.9,1.6,3.2,-2.0,0.0279999999999999,0.067,0.192,0.499,0.264,1996-97
336,336,Kevin Gamble,SAC,31.0,195.58,95.25432,Iowa,USA,1987,3,63,62,5.0,1.7,1.2,-5.6,0.015,0.119,0.149,0.529,0.131,1996-97
339,339,Kevin Salvadori,SAC,26.0,213.36,104.779752,North Carolina,USA,Undrafted,Undrafted,Undrafted,23,1.6,1.1,0.4,3.5,0.047,0.124,0.15,0.452,0.089,1996-97
354,354,Lionel Simmons,SAC,28.0,200.66,95.25432,La Salle,USA,1990,1,7,41,3.4,2.5,1.4,-10.5,0.065,0.173,0.162,0.442,0.179,1996-97
393,393,Michael Smith,SAC,25.0,203.2,104.32616,Providence,USA,1994,2,35,81,6.5,9.5,2.4,-1.8,0.118,0.239,0.11,0.545,0.1119999999999999,1996-97
395,395,Mitch Richmond,SAC,32.0,195.58,97.52228,Kansas State,USA,1988,1,5,81,25.9,3.9,4.2,-2.0,0.022,0.0969999999999999,0.294,0.578,0.203,1996-97
405,405,Olden Polynice,SAC,32.0,213.36,113.398,Virginia,USA,1987,1,8,82,12.5,9.4,2.2,-3.2,0.11,0.203,0.1939999999999999,0.476,0.1,1996-97
421,421,Mahmoud Abdul-Rauf,SAC,28.0,185.42,73.481904,Louisiana State,USA,1990,1,3,75,13.7,1.6,2.5,-4.9,0.009,0.059,0.2339999999999999,0.524,0.154,1996-97
452,452,Mahmoud Abdul-Rauf,SAC,29.0,185.42,73.481904,Louisiana State,USA,1990,1,3,31,7.3,1.2,1.9,-6.4,0.012,0.067,0.246,0.405,0.195,1997-98
455,455,Mark Hendrickson,SAC,24.0,205.74,99.79024,Washington State,USA,1996,2,31,48,3.4,3.0,0.9,-7.6,0.049,0.1639999999999999,0.125,0.4679999999999999,0.086,1997-98
478,478,Otis Thorpe,SAC,35.0,208.28,111.583632,Providence,USA,1984,1,9,74,10.2,7.3,3.0,-12.5,0.079,0.1989999999999999,0.181,0.515,0.168,1997-98
481,481,Olden Polynice,SAC,33.0,213.36,113.398,Virginia,USA,1987,1,8,70,7.9,6.3,1.5,-5.9,0.126,0.218,0.207,0.4639999999999999,0.122,1997-98
488,488,Mitch Richmond,SAC,33.0,195.58,97.52228,Kansas State,USA,1988,1,5,70,23.2,3.3,4.0,-2.6,0.021,0.079,0.276,0.569,0.1989999999999999,1997-98
490,490,Michael Stewart,SAC,23.0,208.28,104.32616,California,USA,Undrafted,Undrafted,Undrafted,81,4.6,6.6,0.8,-3.0,0.125,0.211,0.12,0.486,0.054,1997-98
530,530,Lawrence Funderburke,SAC,27.0,205.74,104.32616,Ohio State,USA,1994,2,51,52,9.5,4.5,1.2,-7.0,0.081,0.168,0.212,0.534,0.102,1997-98
541,541,Kevin Salvadori,SAC,27.0,213.36,104.779752,North Carolina,USA,Undrafted,Undrafted,Undrafted,16,0.3,1.3,0.2,-9.4,0.0559999999999999,0.156,0.106,0.16,0.051,1997-98
572,572,Terry Dehere,SAC,26.0,193.04,86.18248,Seton Hall,USA,1993,1,13,77,6.4,1.4,2.5,-7.2,0.017,0.07,0.1889999999999999,0.494,0.233,1997-98
604,604,Tariq Abdul-Wahad,SAC,23.0,198.12,101.151016,San Jose State,France,1997,1,11,59,6.4,2.0,0.9,-7.0,0.048,0.085,0.217,0.456,0.087,1997-98
667,667,Corliss Williamson,SAC,24.0,200.66,111.13004,Arkansas,USA,1995,1,13,79,17.7,5.6,2.9,-4.6,0.063,0.114,0.243,0.527,0.147,1997-98
692,692,Chris Robinson,SAC,24.0,195.58,90.7184,Western Kentucky,USA,1996,2,51,35,4.6,1.3,1.1,-8.9,0.022,0.098,0.225,0.447,0.1669999999999999,1997-98
703,703,Derek Grimm,SAC,23.0,205.74,104.32616,Missouri,USA,Undrafted,Undrafted,Undrafted,9,1.6,0.4,0.0,-18.2,0.0,0.148,0.1989999999999999,0.47,0.0,1997-98
763,763,Anthony Johnson,SAC,23.0,190.5,86.18248,College of Charleston,USA,1997,2,39,77,7.5,2.2,4.3,-7.7,0.025,0.061,0.154,0.437,0.222,1997-98
767,767,Billy Owens,SAC,29.0,205.74,102.0582,Syracuse,USA,1991,1,3,78,10.5,7.5,2.8,-5.2,0.079,0.2,0.183,0.502,0.151,1997-98
928,928,Corliss Williamson,SAC,25.0,200.66,111.13004,Arkansas,USA,1995,1,13,50,13.2,4.1,1.3,-1.5,0.064,0.089,0.217,0.517,0.076,1998-99
963,963,Chris Webber,SAC,26.0,208.28,111.13004,Michigan,USA,1993,1,1,42,20.0,13.0,4.1,1.3,0.093,0.237,0.249,0.491,0.171,1998-99
1002,1002,Vlade Divac,SAC,31.0,215.9,117.93392,None,Serbia and Montenegro,1989,1,26,50,14.3,10.0,4.3,1.2,0.0819999999999999,0.21,0.1939999999999999,0.5329999999999999,0.19,1998-99
1007,1007,Vernon Maxwell,SAC,33.0,193.04,86.18248,Florida,USA,1988,2,47,46,10.7,1.8,1.7,2.8,0.0139999999999999,0.078,0.2339999999999999,0.522,0.129,1998-99
1041,1041,Tariq Abdul-Wahad,SAC,24.0,198.12,101.151016,San Jose State,France,1997,1,11,49,9.3,3.8,1.0,-2.7,0.062,0.098,0.188,0.486,0.062,1998-99
1080,1080,Michael Hawkins,SAC,26.0,182.88,80.73937600000001,Xavier,USA,Undrafted,Undrafted,Undrafted,24,1.5,1.0,1.1,-0.4,0.057,0.087,0.123,0.436,0.203,1998-99
1109,1109,Lawrence Funderburke,SAC,28.0,205.74,104.32616,Ohio State,USA,1994,2,51,47,8.9,4.7,0.6,-5.8,0.119,0.147,0.1889999999999999,0.597,0.057,1998-99
1148,1148,Scot Pollard,SAC,24.0,210.82,120.20188,Kansas,USA,1997,1,19,16,5.1,5.1,0.3,11.0,0.152,0.183,0.123,0.5760000000000001,0.024,1998-99
1163,1163,Oliver Miller,SAC,29.0,205.74,147.4174,Arkansas,USA,1992,1,22,4,2.5,2.0,0.0,-18.8,0.1939999999999999,0.038,0.177,0.455,0.0,1998-99
1171,1171,Peja Stojakovic,SAC,22.0,205.74,103.872568,None,Serbia and Montenegro,1996,1,14,48,8.4,3.0,1.5,1.3,0.045,0.108,0.195,0.496,0.115,1998-99
1173,1173,Peter Aluma,SAC,26.0,208.28,117.93392,Liberty,USA,Undrafted,Undrafted,Undrafted,2,1.0,1.0,0.0,-65.1,0.125,0.125,0.218,0.5,0.0,1998-99
