,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
11,11,Elmore Spencer,SEA,27.0,213.36,122.46984,Nevada-Las Vegas,USA,1992,1,25,1,0.0,0.0,0.0,-147.5,0.0,0.0,0.126,0.0,0.0,1996-97
19,19,Eric Snow,SEA,24.0,190.5,90.7184,Michigan State,USA,1995,2,43,67,3.0,1.0,2.4,-1.2,0.027,0.085,0.145,0.515,0.3389999999999999,1996-97
36,36,Detlef Schrempf,SEA,34.0,208.28,106.59412,Washington,USA,1985,1,8,61,16.8,6.5,4.4,12.2,0.049,0.166,0.211,0.5920000000000001,0.2,1996-97
80,80,Hersey Hawkins,SEA,30.0,190.5,86.18248,Bradley,USA,1988,1,6,82,13.9,3.9,3.0,10.3,0.04,0.098,0.173,0.616,0.143,1996-97
85,85,Gary Payton,SEA,28.0,193.04,86.18248,Oregon State,USA,1990,1,2,82,21.8,4.6,7.1,10.3,0.04,0.102,0.264,0.545,0.33,1996-97
101,101,Greg Graham,SEA,26.0,193.04,82.553744,Indiana,USA,1993,1,17,28,3.3,0.5,0.4,3.6,0.013,0.063,0.245,0.476,0.1,1996-97
161,161,Antonio Harvey,SEA,26.0,210.82,102.0582,Pfeiffer,USA,Undrafted,Undrafted,Undrafted,6,2.5,1.7,0.2,1.4,0.074,0.2289999999999999,0.217,0.55,0.063,1996-97
172,172,Craig Ehlo,SEA,35.0,198.12,81.64656,Washington State,USA,1983,3,48,62,3.5,1.8,1.1,5.7,0.0559999999999999,0.107,0.166,0.412,0.13,1996-97
189,189,David Wingate,SEA,33.0,195.58,83.91452,Georgetown,USA,1986,2,44,65,3.6,1.1,1.2,2.8,0.031,0.069,0.134,0.509,0.1369999999999999,1996-97
226,226,Sam Perkins,SEA,36.0,205.74,115.66596,North Carolina,USA,1984,1,4,81,11.0,3.7,1.3,10.6,0.047,0.145,0.198,0.584,0.089,1996-97
243,243,Shawn Kemp,SEA,27.0,208.28,116.119552,Trinity Valley Community College,USA,1989,1,17,81,18.7,10.0,1.9,8.9,0.122,0.23,0.262,0.583,0.098,1996-97
311,311,Steve Scheffler,SEA,29.0,205.74,113.398,Purdue,USA,1990,2,39,7,1.6,0.4,0.0,-19.9,0.043,0.077,0.186,0.799,0.0,1996-97
316,316,Terry Cummings,SEA,36.0,205.74,113.398,DePaul,USA,1982,1,2,45,8.2,4.1,0.9,1.3,0.104,0.174,0.2319999999999999,0.521,0.088,1996-97
349,349,Larry Stewart,SEA,28.0,203.2,104.32616,Coppin State,USA,Undrafted,Undrafted,Undrafted,70,4.3,2.4,0.7,5.8,0.089,0.115,0.161,0.512,0.079,1996-97
387,387,Jim McIlvaine,SEA,24.0,215.9,117.93392,Marquette,USA,1994,2,32,82,3.8,4.0,0.3,9.7,0.103,0.152,0.1159999999999999,0.487,0.022,1996-97
402,402,Nate McMillan,SEA,32.0,195.58,90.7184,North Carolina State,USA,1986,2,30,37,4.6,3.2,3.8,14.1,0.023,0.161,0.113,0.522,0.265,1996-97
483,483,Nate McMillan,SEA,33.0,195.58,95.25432,North Carolina State,USA,1986,2,30,18,3.4,2.2,3.1,10.4,0.055,0.1369999999999999,0.136,0.46,0.296,1997-98
516,516,Jim McIlvaine,SEA,25.0,215.9,119.748288,Marquette,USA,1994,2,32,78,3.2,3.3,0.2,7.0,0.093,0.151,0.1169999999999999,0.477,0.021,1997-98
549,549,Aaron Williams,SEA,26.0,205.74,102.0582,Xavier,USA,Undrafted,Undrafted,Undrafted,65,4.6,2.3,0.2,5.5,0.084,0.147,0.186,0.5770000000000001,0.0289999999999999,1997-98
595,595,Vin Baker,SEA,26.0,210.82,113.398,Hartford,USA,1993,1,8,82,19.2,8.0,1.9,7.7,0.1169999999999999,0.148,0.247,0.564,0.092,1997-98
606,606,Sam Perkins,SEA,37.0,205.74,117.93392,North Carolina,USA,1984,1,4,81,7.2,3.1,1.4,10.8,0.039,0.147,0.168,0.55,0.107,1997-98
639,639,Stephen Howard,SEA,27.0,205.74,102.0582,DePaul,USA,Undrafted,Undrafted,Undrafted,13,1.9,0.9,0.2,-16.2,0.115,0.113,0.248,0.432,0.094,1997-98
660,660,Jerome Kersey,SEA,36.0,200.66,102.0582,Longwood,USA,1984,2,46,37,6.3,3.6,1.2,8.7,0.093,0.141,0.188,0.447,0.095,1997-98
664,664,Dale Ellis,SEA,37.0,200.66,97.52228,Tennessee,USA,1983,1,9,79,11.8,2.3,1.1,8.4,0.034,0.084,0.205,0.611,0.081,1997-98
701,701,Detlef Schrempf,SEA,35.0,208.28,106.59412,Washington,USA,1985,1,8,78,15.7,7.1,4.4,10.7,0.06,0.178,0.206,0.584,0.198,1997-98
723,723,David Wingate,SEA,34.0,195.58,83.91452,Georgetown,USA,1986,2,44,58,2.6,1.4,0.6,-0.7,0.04,0.1169999999999999,0.156,0.494,0.113,1997-98
810,810,Gary Payton,SEA,29.0,193.04,81.64656,Oregon State,USA,1990,1,2,82,19.2,4.6,8.3,10.4,0.03,0.113,0.246,0.544,0.361,1997-98
813,813,George Zidek,SEA,24.0,213.36,113.398,UCLA,USA,1995,1,22,12,2.4,1.4,0.2,-12.3,0.069,0.186,0.266,0.402,0.061,1997-98
842,842,Greg Anthony,SEA,30.0,185.42,81.64656,Nevada-Las Vegas,USA,1991,1,12,80,5.2,1.4,2.6,0.4,0.022,0.106,0.218,0.545,0.344,1997-98
847,847,James Cotton,SEA,22.0,195.58,99.79024,Long Beach State,USA,1997,2,32,9,2.7,0.7,0.0,-36.2,0.061,0.121,0.332,0.481,0.0,1997-98
873,873,Hersey Hawkins,SEA,31.0,190.5,90.7184,Bradley,USA,1988,1,6,82,10.5,4.1,2.7,10.0,0.033,0.1159999999999999,0.146,0.594,0.125,1997-98
915,915,Billy Owens,SEA,30.0,203.2,99.79024,Syracuse,USA,1991,1,3,21,7.8,3.8,1.8,-2.3,0.087,0.128,0.21,0.452,0.133,1998-99
933,933,Dale Ellis,SEA,38.0,200.66,92.98636,Tennessee,USA,1983,1,9,48,10.3,2.4,0.8,-0.7,0.024,0.085,0.175,0.581,0.055,1998-99
1001,1001,Vladimir Stepania,SEA,23.0,213.36,107.047712,None,Georgia,1998,1,27,23,5.5,3.3,0.5,-6.2,0.1009999999999999,0.166,0.244,0.445,0.065,1998-99
1006,1006,Vin Baker,SEA,27.0,210.82,113.398,Hartford,USA,1993,1,8,34,13.8,6.2,1.6,2.4,0.088,0.125,0.233,0.461,0.086,1998-99
