,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
58,58,Howard Eisley,UTA,24.0,187.96,80.28578399999998,Boston College,USA,1994,2,30,82,4.5,1.0,2.4,2.5,0.024,0.067,0.192,0.53,0.296,1996-97
76,76,Jeff Hornacek,UTA,34.0,193.04,86.18248,Iowa State,USA,1986,2,46,82,14.5,2.9,4.4,14.4,0.031,0.0819999999999999,0.2,0.596,0.21,1996-97
100,100,Greg Foster,UTA,28.0,210.82,113.398,Texas-El Paso,USA,1990,2,35,79,3.5,2.4,0.4,-0.9,0.078,0.166,0.168,0.508,0.055,1996-97
103,103,Greg Ostertag,UTA,24.0,218.44,127.00576,Kansas,USA,1995,1,28,77,7.3,7.3,0.4,15.9,0.133,0.246,0.146,0.561,0.021,1996-97
142,142,Adam Keefe,UTA,27.0,205.74,109.315672,Stanford,USA,1992,1,10,62,3.8,3.5,0.5,6.7,0.11,0.177,0.126,0.5720000000000001,0.051,1996-97
158,158,Antoine Carr,UTA,35.0,205.74,115.66596,Wichita State,USA,1983,1,8,82,7.4,2.4,0.9,2.2,0.054,0.111,0.21,0.522,0.089,1996-97
194,194,Bryon Russell,UTA,26.0,200.66,102.0582,Long Beach State,USA,1993,2,45,81,10.8,4.1,1.5,13.5,0.0409999999999999,0.118,0.15,0.6,0.07,1996-97
214,214,Chris Morris,UTA,31.0,203.2,99.79024,Auburn,USA,1988,1,4,73,4.3,2.2,0.6,-7.3,0.049,0.155,0.178,0.486,0.075,1996-97
237,237,Shandon Anderson,UTA,23.0,198.12,94.347136,Georgia,USA,1996,2,54,65,5.9,2.8,0.8,2.5,0.065,0.139,0.193,0.534,0.074,1996-97
306,306,Stephen Howard,UTA,26.0,205.74,111.13004,DePaul,USA,Undrafted,Undrafted,Undrafted,49,3.6,1.7,0.2,0.1,0.094,0.1639999999999999,0.187,0.613,0.046,1996-97
375,375,John Stockton,UTA,35.0,185.42,79.3786,Gonzaga,USA,1984,1,16,82,14.4,2.8,10.5,11.4,0.021,0.075,0.186,0.6559999999999999,0.45,1996-97
381,381,Karl Malone,UTA,33.0,205.74,116.119552,Louisiana Tech,USA,1985,1,13,82,27.4,9.9,4.5,12.8,0.086,0.243,0.325,0.6,0.2339999999999999,1996-97
499,499,Karl Malone,UTA,34.0,205.74,116.119552,Louisiana Tech,USA,1985,1,13,81,27.0,10.3,3.9,9.8,0.085,0.246,0.318,0.597,0.204,1997-98
507,507,John Stockton,UTA,36.0,185.42,79.3786,Gonzaga,USA,1984,1,16,64,12.0,2.6,8.5,13.4,0.026,0.084,0.1939999999999999,0.628,0.447,1997-98
600,600,Troy Hudson,UTA,22.0,185.42,80.73937600000001,Southern Illinois,USA,Undrafted,Undrafted,Undrafted,8,1.5,0.3,0.5,-6.4,0.053,0.048,0.302,0.429,0.444,1997-98
652,652,Shandon Anderson,UTA,24.0,198.12,95.25432,Georgia,USA,1996,2,54,82,8.3,2.8,1.1,3.7,0.073,0.108,0.198,0.586,0.099,1997-98
690,690,Chris Morris,UTA,32.0,203.2,103.418976,Auburn,USA,1988,1,4,54,4.3,2.1,0.4,0.8,0.076,0.1639999999999999,0.226,0.498,0.08,1997-98
745,745,Antoine Carr,UTA,36.0,205.74,122.46984,Wichita State,USA,1983,1,8,66,5.7,2.0,0.7,4.5,0.05,0.098,0.181,0.513,0.075,1997-98
772,772,Bryon Russell,UTA,27.0,200.66,102.0582,Long Beach State,USA,1993,2,45,82,9.0,4.0,1.2,5.6,0.046,0.131,0.153,0.57,0.075,1997-98
802,802,Adam Keefe,UTA,28.0,205.74,104.32616,Stanford,USA,1992,1,10,80,7.8,5.5,1.1,9.7,0.119,0.147,0.131,0.605,0.063,1997-98
843,843,Jacque Vaughn,UTA,23.0,185.42,86.18248,Kansas,USA,1997,1,27,45,3.1,0.8,1.9,2.9,0.012,0.086,0.218,0.457,0.315,1997-98
856,856,Jeff Hornacek,UTA,35.0,193.04,86.18248,Iowa State,USA,1986,2,46,80,14.2,3.4,4.4,9.4,0.035,0.095,0.204,0.5870000000000001,0.2289999999999999,1997-98
864,864,Greg Foster,UTA,29.0,210.82,113.398,Texas-El Paso,USA,1990,2,35,78,5.7,3.5,0.7,3.0,0.08,0.157,0.17,0.483,0.054,1997-98
867,867,Greg Ostertag,UTA,25.0,218.44,127.00576,Kansas,USA,1995,1,28,63,4.7,5.9,0.4,7.0,0.131,0.21,0.133,0.494,0.0289999999999999,1997-98
877,877,Howard Eisley,UTA,25.0,187.96,81.64656,Boston College,USA,1994,2,30,82,7.7,2.0,4.2,0.9,0.019,0.096,0.203,0.541,0.347,1997-98
892,892,Bryon Russell,UTA,28.0,200.66,102.0582,Long Beach State,USA,1993,2,45,50,12.4,5.3,1.5,9.5,0.049,0.13,0.17,0.5720000000000001,0.072,1998-99
959,959,Chris King,UTA,29.0,203.2,97.52228,Wake Forest,USA,1992,2,45,8,0.5,1.4,0.1,-16.3,0.026,0.25,0.14,0.228,0.048,1998-99
981,981,Todd Fuller,UTA,24.0,210.82,115.66596,North Carolina State,USA,1996,1,11,42,3.4,2.4,0.1,-1.5,0.077,0.183,0.175,0.486,0.023,1998-99
987,987,Thurl Bailey,UTA,38.0,210.82,112.037224,North Carolina State,USA,1983,1,7,43,4.2,2.2,0.6,2.7,0.085,0.132,0.19,0.476,0.093,1998-99
1029,1029,Anthony Avent,UTA,29.0,205.74,106.59412,Seton Hall,USA,1991,1,15,5,1.8,2.4,0.2,5.4,0.178,0.1,0.2019999999999999,0.324,0.043,1998-99
1058,1058,Adam Keefe,UTA,29.0,205.74,104.32616,Stanford,USA,1992,1,10,44,4.0,3.2,0.6,4.2,0.103,0.16,0.142,0.5329999999999999,0.074,1998-99
1254,1254,Greg Foster,UTA,30.0,210.82,113.398,Texas-El Paso,USA,1990,2,35,42,2.8,2.0,0.6,-6.6,0.076,0.14,0.18,0.401,0.103,1998-99
1255,1255,Greg Ostertag,UTA,26.0,218.44,127.00576,Kansas,USA,1995,1,28,48,5.7,7.3,0.5,12.6,0.105,0.198,0.11,0.523,0.027,1998-99
1279,1279,Karl Malone,UTA,35.0,205.74,116.119552,Louisiana Tech,USA,1985,1,13,49,23.8,9.4,4.1,9.9,0.079,0.218,0.305,0.5770000000000001,0.22,1998-99
1284,1284,John Stockton,UTA,37.0,185.42,79.3786,Gonzaga,USA,1984,1,16,50,11.1,2.9,7.5,11.2,0.0289999999999999,0.092,0.2019999999999999,0.5710000000000001,0.457,1998-99
1292,1292,Shandon Anderson,UTA,25.0,198.12,95.25432,Georgia,USA,1996,2,54,50,8.5,2.6,1.1,2.0,0.059,0.09,0.215,0.511,0.105,1998-99
1295,1295,Howard Eisley,UTA,26.0,187.96,81.64656,Boston College,USA,1994,2,30,50,7.4,1.9,3.7,2.5,0.015,0.091,0.213,0.527,0.35,1998-99
